paper_id,paper_title,authors,journal,year,doi,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct,n_measurements,aggregate_replacement_suspect,in_scope
0,Mechanical behaviour of concrete made with fine recycled concrete aggregates,"L. Evangelista, J. de Brito",Cement & Concrete Composites,2007,10.1016/j.cemconcomp.2006.12.004,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0,21,True,True
1,Durability performance of concrete made with fine recycled concrete aggregates,"L. Evangelista, J. de Brito",Cement & Concrete Composites,2010,10.1016/j.cemconcomp.2009.09.005,,,,,,,,,,,,,,,,,,13.1,,1234.0,0.44,,,,,,,crushing,,fines,,,0,False,False
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,"Elyse M. Hanson, Nicholas J. Connolly and Donald J. Janssen",,2010,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,,8,False,True
3,Utilization of waste concrete powder as a substitution material for cement,"Yong Jic Kim, Yun Wang Choi",Construction and Building Materials,2012,10.1016/j.conbuildmat.2011.11.042,58.55,11.82,10.35,4.64,1.52,0.44,,,,,,67.25,,67.25,,,1500.0,,2.3625,,0.55,,,,,0.0,,combined,portlandite,powder,15.0,,0,False,True
4,A study on development of recycled cement made from waste cementitious powder,"Eunhee Kwon, Jaecheol Ahn, Bongsuk Cho, Dongcheon Park",Construction and Building Materials,2015,http://dx.doi.org/10.1016/j.conbuildmat.2015.02.086,33.43,32.17,18.7,16.72,,,,,,,,,,52.5,,,,,,,0.5,1337.5,1.0,,,,thermal,,,powder,,,4,False,True
5,Reuse of recycled crushed concrete fines as mineral addition in cementitious materials,"L. Oksri-Nelfia, P-Y. Mahieux, O. Amiri, Ph. Turcry, J. Lux",Materials and Structures,2016,10.1617/s11527-015-0716-1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,16,False,True
6,Influence of fine recycled concrete aggregates on the properties of mortars,"Zengfeng Zhao, Sébastien Remond, Denis Damidot, Weiya Xu",Construction and Building Materials,2015,http://dx.doi.org/10.1016/j.conbuildmat.2015.02.037,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,,24,True,True
7,PROPERTIES AND MICROSTRUCTURE OF CEMENT PASTE INCLUDING RECYCLED CONCRETE POWDER,"JAROSLAV TOPIČ, ZDENĚK PROŠEK",Acta Polytechnica,2017,10.14311/AP.2017.57.0049,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,,6,False,True
8,Influence of increasing amount of recycled concrete powder on mechanical properties of cement paste,"Jaroslav Topič, Zdeněk Prošek, Tomáš Plachý",IOP Conference Series: Materials Science and Engineering,2017,10.1088/1757-899X/236/1/012094,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,mechanical,milling,,powder,25.0,,6,False,True
9,Recycled cement,"Junjie Wang, Mulan Mu, Yongliang Liu",Construction and Building Materials,2018,https://doi.org/10.1016/j.conbuildmat.2018.09.181,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0,36,False,True
