paper_id,paper_title,authors,journal,year,doi,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,specific_gravity,mean_particle_um,specific_surface,bet_surface,blaine,wb_ratio,burn_temp_c,burn_duration,grind_duration,pozzolanic_reactivity,activation_method,mineralogy,processing_method,reported_optimum_pct,empirical_optimum_pct,n_measurements,aggregate_replacement_suspect
0,Mechanical Properties and Durability of Concretes Containing Rice Husk Ash as Supplementary Cementing Material,"A.A.Ramezanianpour, P.Pourbeik, M.Mahdikhani, and F.Moodi",Second International Conference on Sustainable Construction Materials and Technologies,2010,,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,15.0,15.0,15,False
1,Effect of rice husk ash on high strength concrete,Muhammad Shoaib Ismail and A. M. Waliuddin,Construction and Building Materials,1996,,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,10.0,10.0,39,False
2,Performance of rice husk ash produced using a new technology as a mineral admixture in concrete,"M. Nehdi, J. Duquette, A. El Damatty",Cement and Concrete Research,2003,10.1016/S0008-8846(03)00038-3,93.3,0.5333333333333333,0.3666666666666667,0.3,0.3999999999999999,1.6666666666666667,0.2333333333333333,1.4333333333333336,2.6,,2.05,22.438,18.436666666666667,15.306666666666668,,0.4,790.0,,7.0,,mechanical,mixed,controlled_burn,,,0,False
3,Strength development of concrete with rice-husk ash,Gemma Rodríguez de Sensale,Cement & Concrete Composites,2006,10.1016/j.cemconcomp.2005.09.005,87.6,0.675,0.15,0.13,0.275,0.32,0.91,2.9000000000000004,7.324999999999999,69.025,2.1100000000000003,,,288.0,,0.4066666666666667,,,,2.0,both,mixed,controlled_burn,,,0,False
4,Rice husk ash blended cement: Assessment of optimal level of replacement for strength and permeability properties of concrete,"K. Ganesan, K. Rajagopal, K. Thangavel",Construction and Building Materials,2008,10.1016/j.conbuildmat.2007.06.011,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.1,87.0,2.06,3.8,36.47,36.47,,0.53,650.0,1.0,,2.0,both,crystalline,burn_other,30.0,5.0,6,False
5,Influence of rice husk ash as supplementary material in cement paste and concrete,"Marshal G. Calica, Jr.",NLR Journal,2008,,85.77,0.67,0.24,0.32,0.17,,0.09,0.81,,,,,,,,0.6,,,,2.0,,,other,10.0,,0,False
6,The Effect of Rice Husk Ash on Mechanical Properties and Durability of Sustainable Concretes,"A. A. Ramezanianpour, M. Mahdi khani, Gh. Ahmadibeni",International Journal of Civil Engineering,2009,,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,15.0,15.0,16,False
7,Rice Husk Ash as a Supplementary Raw Material for the Production of CelluloseCement Composites with Improved Performance,"Conrado de Souza Rodrigues, Khosrow Ghavami, Piet Stroeven",Waste and Biomass Valorization,2010,10.1007/s12649-010-9017-7,84.1,0.845,0.0824999999999999,0.205,0.275,0.99,0.075,1.145,12.15,,,2.9,,67.0,,,666.6666666666666,3.0,12.0,1.0,both,,burn_other,30.0,,0,False
8,Comparison of two processes for treating rice husk ash for use in high performance concrete,"Andres Salas, Silvio Delvasto, Ruby Mejía de Gutiérrez, David Lange",Cement and Concrete Research,2009,10.1016/j.cemconres.2009.05.006,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,10.0,10.0,40,False
9,"Assessment of the effects of rice husk ash particle size on strength, water permeability and workability of binary blended concrete","Alireza Naji Givi, Suraya Abdul Rashid, Farah Nora A. Aziz, Mohamad Amran Mohd Salleh",Construction and Building Materials,2010,10.1016/j.conbuildmat.2010.04.045,87.86,1.3,0.68,0.93,0.35,,0.12,2.37,,95.0,,50.0,,30.235,,0.4,700.0,,105.0,2.0,mechanical,,controlled_burn,10.0,,0,False
10,Contribution of Rice Husk Ash to the Properties of Mortar and Concrete: A Review,"Alireza Naji Givi, Suraya Abdul Rashid, Farah Nora A. Aziz, Mohamad Amran Mohd Salleh",Journal of American Science,2010,,87.16000000000001,0.8333333333333334,0.3799999999999999,0.35,0.4233333333333333,0.1966666666666666,1.5666666666666669,3.68,7.413333333333334,90.0,2.0733333333333337,17.125,,,,,,,,,,mixed,burn_other,10.0,,0,False
11,Study on Properties of Rice Husk Ash and Its Use as Cement Replacement Material,"Ghassan Abood Habeeb, Hilmi Bin Mahmud",Materials Research,2010,,88.32,0.67,0.46,0.67,0.44,,1.7066666666666668,2.91,5.81,,2.11,93.71818181818183,16.88571428571429,16.88571428571429,,0.53,690.0,24.0,225.0,2.0,both,amorphous,controlled_burn,10.0,,1,False
12,Effect of rice-husk ash on durability of cementitious materials,Gemma Rodríguez de Sensale,Cement & Concrete Composites,2010,10.1016/j.cemconcomp.2010.07.008,87.6,0.675,0.075,0.13,0.275,0.32,0.91,2.9000000000000004,7.324999999999999,69.025,2.1100000000000003,8.0,,26550.0,,0.4225,,,,2.0,mechanical,mixed,controlled_burn,15.0,,0,False
13,Effect of rice husk ash fineness on the chemical and physical properties of concrete,"B. H. Abu Bakar, P. J. Ramadhansyah, M. J. Megat Azmi",Magazine of Concrete Research,2011,10.1680/macr.10.00019,47.5725,1.97875,1.87125,1.9275,2.07125,1.829375,1.79875,2.7731250000000003,3.9275,,2.73,7.391764705882353,,,2583.4444444444443,0.49,700.0,6.0,127.5,2.0,mechanical,crystalline,burn_other,15.0,0.0,4,False
14,Effect of rice husk ash on the strength and durability characteristics of concrete,"Hwang Chao-Lung, Bui Le Anh-Tuan, Chen Chun-Tsun",Construction and Building Materials,2011,10.1016/j.conbuildmat.2011.04.009,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,20.0,10.0,41,False
15,Study on Strength Characteristics of High Strength Rice Husk Ash Concrete,"RAVANDE KISHORE, V.BHIKSHMA AND P.JEEVANA PRAKASH",Procedia Engineering,2011,10.1016/j.proeng.2011.07.335,82.5,,,,,,,,,,2.27,,,,,22.6775,,,,2.0,,,burn_other,10.0,0.0,24,False
16,Mechanical properties and durability assessment of rice husk ash concrete,"Rahmat Madandoust, Malek Mohammad Ranjbar, Hamed Ahmadi Moghadam, Seyed Yasin Mousavi",Biosystems Engineering,2011,10.1016/j.biosystemseng.2011.07.009,90.9,0.8,0.83,0.6,0.56,,,,,,,,,,376.8,0.53,,,,,mechanical,mixed,uncontrolled_burn,20.0,0.0,19,False
