paper_id,declared_replacement_levels_pct,replacement_min_pct,replacement_max_pct,material_type,source_material,processing_method,processing_parameters,sio2_pct,activation_method,w_b_ratio,fe2o3_pct,al2o3_pct,pozzolanic_reactivity,cao_pct,mgo_pct,k2o_pct,mechanical_activation_method,amorphous_content_pct,activation_parameters,na2o_pct,specific_gravity,loi_pct,xrd_phases,other_reported_oxides,mineral_composition,thermal_treatment_temperature,replacement_pct,age_days,compressive_strength_mpa
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,2.5,7.0,29.17
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,2.5,14.0,35.35
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,2.5,28.0,38.78
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,2.5,91.0,39.3
P028,"0, 5, 10, 15, 20, 25, 30",0.0,30.0,Rice Husk Ash (RHA),Rice Husk,controlled,,83.6,,,0.64,0.76,,0.84,0.4,,,,,,,14.2,,Particles retained on 45 micron IS sieves (Wet Sieving): 27.13,,,5.0,3.0,21.0
P010,"5, 10, 15, 20",5.0,20.0,Rice husk ash (RHA),Rice husk,controlled,Incineration temperature < 700 °C; Sieving through 150 µm and 33 µm; Grinding in Los Angeles mill for 30 min and 180 min,87.86,mechanical,0.4,0.93,0.68,high,1.3,0.35,2.37,Los Angeles mill grinding,95.0,Grinded using Los Angeles mill,0.12,,,,,,700.0,5.0,7.0,25.7
P016,"0, 5, 10, 15",0.0,15.0,Rice Husk Ash,Rice Husk,Burning / Incineration,,82.5,,0.355,,,high,,,,,,,,2.27,,,,,,5.0,7.0,35.34
P016,"0, 5, 10, 15",0.0,15.0,Rice Husk Ash,Rice Husk,Burning / Incineration,,82.5,,0.355,,,high,,,,,,,,2.27,,,,,,5.0,7.0,42.0
P028,"0, 5, 10, 15, 20, 25, 30",0.0,30.0,Rice Husk Ash (RHA),Rice Husk,controlled,,83.6,,,0.64,0.76,,0.84,0.4,,,,,,,14.2,,Particles retained on 45 micron IS sieves (Wet Sieving): 27.13,,,5.0,7.0,37.0
P031,"0, 5, 10, 15, 20, 25",0.0,25.0,Rice Husk Ash (RHA),Rice Husk,"Burnt under guided or enclosed place, ground, and sieved",Sieved through 600 ?m sieve,,mechanical,,,,,,,,Grinding,,,,,,,,,,5.0,7.0,16.88
P039,"0, 5, 10, 15, 20",0.0,20.0,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,90.4,,0.5,1.6,1.7,reactive pozzolanic material,,0.7,,,90.4,,,,,amorphous silica,alkali oxides: 3.2%,,,5.0,7.0,23.4
P039,"0, 5, 10, 15, 20",0.0,20.0,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,90.4,,0.5,1.6,1.7,reactive pozzolanic material,,0.7,,,90.4,,,,,amorphous silica,alkali oxides: 3.2%,,,5.0,7.0,24.5
P043,"0, 5, 10, 15, 20, 25",0.0,25.0,Rice husk ash (RHA),Rice husk,Laboratory mill burning,Temperature of 600°C for 5 h,86.73,thermal,0.4,0.61,0.04,high,0.39,0.08,0.01,,,"Temperature: 600°C, Duration: 5 h",9.76,,0.54,,"TiO2: NULL, P2O5: NULL",,600.0,5.0,7.0,51.92
P049,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk from Sakrand region,controlled,Sieved through #30 sieves,,both,,,,,,,,Sieving through #30 sieves,,Uncontrolled temperature burning; sieved through #30 sieves,,,,,,,,5.0,7.0,24.0
P050,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice Husk Ash (RHA),Rice husk / Paddy,Burning of husk in boiler or ferrocement furnace,Temperature around 500800°C for 24 hours; air ducts provided to control temperature and reduce carbon content,85.0,thermal,0.4,,,"Pozzolanic behavior depends upon silica crystallization phase, silica content, size, and surface area of ash",,,,,85.0,"Controlled burning at 500800°C for 24 hours, cooled to ~52°C after 24 hours and ~25°C after 48 hours",,2.3,,,,,650.0,5.0,7.0,26.6
P051,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice Husk (RH),controlled,12kgs of RH loaded per batch; 20% recovered as RHA; RH laid flat 2-3cm thick on 28 ceramic hearth plates,93.47,both,,1.08,0.92,high,0.87,3.18,,Ball milling using a Los Angeles machine,,Free air supply through 4 holes during burning; slow cooling for 6-8 hours with furnace door ajar,,,,Amorphous,Titanium oxide (TiO2): 0.04,,500.0,5.0,7.0,31.192
P057,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice Husk Ash (RHA),Rice husk,Burning / Incineration,Burning temperature below 1440,91.432222,,,0.402222,1.007778,Active pozzolanic material,0.83,0.4375,2.154444,,,,0.111429,,5.17,,P2O5: ND; 0.48; ND; ND; 0.67; ND; 0.8; 2.43; ND TiO2: ND; 0.17; ND; ND; ND; ND; ND; ND; 0.16,,,5.0,7.0,26.6
P062,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice husk ash (RHA),Rice husk,Charring in a ferrocation oven or boilers with air pipes/electrical ventilators,"Burned at about 50°-800°C for 24 h, around 52°C after 24 h, and around 25°C after 48 h",86.94,,0.39,0.1,0.2,high,1.25,0.4,2.225,,,,0.45,2.3,,,,Non crystalline,,5.0,7.0,27.5
P065,"0, 5, 10, 15, 20, 25, 30",0.0,30.0,Rice Husk Ash (RHA),Rice husk,controlled,650,81.47,thermal,0.5,1.34,1.61,"Combined silica, alumina and ferric-oxides: 84.42",1.22,1.46,0.32,,81.47,650,0.08,2.06,4.92,,Manganese Oxide (MnO): 0.03,,650.0,5.0,7.0,13.5
P066,"0, 5, 10, 15, 20, 25",0.0,25.0,Rice husk ash,Rice husk / Paddy grains,Blazing,,87.5,,0.4,,,,,,,,87.5,,,,,,,,,5.0,7.0,16.8
