test_case_id,paper_id,replacement_pct,age_days,true_strength_mpa,true_control_strength_28d_mpa,strength_band
T01,P036,5.0,7.0,14.3,27.0,low (<30 MPa)
T01,P036,5.0,14.0,18.4,27.0,low (<30 MPa)
T01,P036,5.0,28.0,24.8,27.0,low (<30 MPa)
T01,P036,10.0,7.0,15.6,27.0,low (<30 MPa)
T01,P036,10.0,14.0,19.5,27.0,low (<30 MPa)
T01,P036,10.0,28.0,29.3,27.0,low (<30 MPa)
T01,P036,15.0,7.0,12.9,27.0,low (<30 MPa)
T01,P036,15.0,14.0,15.9,27.0,low (<30 MPa)
T01,P036,15.0,28.0,17.6,27.0,low (<30 MPa)
T01,P036,20.0,7.0,11.5,27.0,low (<30 MPa)
T01,P036,20.0,14.0,12.4,27.0,low (<30 MPa)
T01,P036,20.0,28.0,16.03,27.0,low (<30 MPa)
T02,P022,25.0,3.0,5.97,21.34,low (<30 MPa)
T02,P022,25.0,7.0,8.31,21.34,low (<30 MPa)
T02,P022,25.0,14.0,10.86,21.34,low (<30 MPa)
T02,P022,25.0,28.0,15.38,21.34,low (<30 MPa)
T02,P022,40.0,3.0,4.28,21.34,low (<30 MPa)
T02,P022,40.0,7.0,6.57,21.34,low (<30 MPa)
T02,P022,40.0,14.0,8.52,21.34,low (<30 MPa)
T02,P022,40.0,28.0,11.46,21.34,low (<30 MPa)
T02,P022,50.0,3.0,4.68,21.34,low (<30 MPa)
T02,P022,50.0,7.0,3.06,21.34,low (<30 MPa)
T02,P022,50.0,14.0,6.72,21.34,low (<30 MPa)
T02,P022,50.0,28.0,8.92,21.34,low (<30 MPa)
T03,P007,7.0,3.0,16.8,40.3,mid (30–60 MPa)
T03,P007,7.0,7.0,32.4,40.3,mid (30–60 MPa)
T03,P007,7.0,28.0,42.8,40.3,mid (30–60 MPa)
T03,P007,7.0,90.0,54.4,40.3,mid (30–60 MPa)
T03,P007,10.0,3.0,17.6,40.3,mid (30–60 MPa)
T03,P007,10.0,7.0,32.6,40.3,mid (30–60 MPa)
T03,P007,10.0,28.0,44.2,40.3,mid (30–60 MPa)
T03,P007,10.0,90.0,59.0,40.3,mid (30–60 MPa)
T03,P007,15.0,3.0,17.9,40.3,mid (30–60 MPa)
T03,P007,15.0,7.0,34.2,40.3,mid (30–60 MPa)
T03,P007,15.0,28.0,46.9,40.3,mid (30–60 MPa)
T03,P007,15.0,90.0,63.2,40.3,mid (30–60 MPa)
T04,P030,10.0,7.0,27.8,37.0,mid (30–60 MPa)
T04,P030,10.0,28.0,42.8,37.0,mid (30–60 MPa)
T04,P030,20.0,7.0,28.3,37.0,mid (30–60 MPa)
T04,P030,20.0,28.0,39.8,37.0,mid (30–60 MPa)
T04,P030,30.0,7.0,27.4,37.0,mid (30–60 MPa)
T04,P030,30.0,28.0,37.0,37.0,mid (30–60 MPa)
T05,P054,5.0,3.0,42.1,69.8,high (≥60 MPa)
T05,P054,5.0,7.0,51.5,69.8,high (≥60 MPa)
T05,P054,5.0,28.0,70.5,69.8,high (≥60 MPa)
T05,P054,10.0,3.0,43.8,69.8,high (≥60 MPa)
T05,P054,10.0,7.0,53.2,69.8,high (≥60 MPa)
T05,P054,10.0,28.0,73.1,69.8,high (≥60 MPa)
T05,P054,15.0,3.0,45.2,69.8,high (≥60 MPa)
T05,P054,15.0,7.0,55.0,69.8,high (≥60 MPa)
T05,P054,15.0,28.0,77.7,69.8,high (≥60 MPa)
T06,P064,15.0,3.0,63.8,80.0,high (≥60 MPa)
T06,P064,15.0,28.0,94.67,80.0,high (≥60 MPa)
T06,P064,25.0,3.0,52.1,80.0,high (≥60 MPa)
T06,P064,25.0,28.0,111.3,80.0,high (≥60 MPa)
T06,P064,40.0,3.0,47.9,80.0,high (≥60 MPa)
T06,P064,40.0,28.0,90.42,80.0,high (≥60 MPa)
