study,config,r2_mean,r2_std,rmse_mean,mae_mean,n_rows,n_papers,repeats
S1_framing,"A: absolute, all papers",-0.7755397985337795,1.5494373498279643,30.99405107952135,20.954217387759268,756,44,40
S1_framing,B: relative-to-control,-0.15887533569409978,0.29950471764564407,0.29160834918346384,0.21846918145373068,335,23,40
S1_framing,C: blend | control strength,0.3953998220595292,0.25880283734754306,16.447329993853106,10.637685909092529,335,23,40
S2_model,mean,-0.310459749276692,0.3659497607871229,23.970681135197555,17.39810586628634,335,23,40
S2_model,ridge,-14.737021598038018,46.10043128810181,44.738090018557784,27.649706849015438,335,23,40
S2_model,rf,0.43597154265382637,0.21456689327029416,15.820546803050984,10.39972417507352,335,23,40
S2_model,histgb,-0.524107807886055,0.7104531159296272,22.27702450167352,15.824512553487047,335,23,31
S2_model,xgb,0.3953998220595292,0.25880283734754306,16.447329993853106,10.637685909092529,335,23,40
S3_features,"base [repl,age,control]",0.4421909446688474,0.21260121661915277,15.535277580042726,10.656699011802841,335,23,40
S3_features,base+chem,0.31672878203751315,0.35526611362938215,17.180799133446374,11.242679020932764,335,23,40
S3_features,base+fineness,0.435392626739167,0.29683444171810114,15.726213347694042,10.504821712548152,335,23,40
S3_features,base+process,0.23583208758544325,0.5835127284100902,17.68969538170851,12.343585802365128,335,23,40
S3_features,base+categorical,0.42661844667779353,0.22050404541596702,15.926796506253021,10.862438091194711,335,23,40
S3_features,base+all numeric,0.34926763536664124,0.33585817083377045,16.845488406287803,11.010797964310388,335,23,40
S3_features,all structured,0.3953998220595292,0.25880283734754306,16.447329993853106,10.637685909092529,335,23,40
S3_features,all + TF-IDF text,0.40273568202249016,0.23826450913498753,16.422081560301155,10.724058679389923,335,23,40
S3_features,all + MiniLM text,0.42649296562607875,0.21453351527071607,16.129826413917282,10.533915403080163,335,23,40
S4_imputation,xgb+native,0.3971761987871215,0.24621891009675095,16.39868596111956,10.597168484075478,335,23,40
S4_imputation,xgb+median,0.3964526482005997,0.22129423619882535,14.882254731731177,9.740466662011443,335,23,31
S4_imputation,xgb+knn,0.3903986184256401,0.2680379480911685,14.914544048707253,10.135057986173258,335,23,31
S4_imputation,xgb+mice,0.24896382549133073,0.3218322077808586,16.352234431391093,11.172970702116007,335,23,31
S4_imputation,ridge+median,-54.117525711747,126.62614129804695,80.54736126853967,45.46974359489612,335,23,40
S5_priors,plain,0.4421909446688474,0.21260121661915277,15.535277580042726,10.656699011802841,335,23,40
S5_priors,log-target,0.42307747579554533,0.17795515560600703,16.094030283545575,10.869019952891879,335,23,40
S5_priors,"monotone(age,control)",0.48218269926347884,0.21737061160455182,15.019710066760402,10.209612976721655,335,23,40
S5_priors,log+monotone,0.45814408570433207,0.19648595694700097,15.70557059493195,10.62609538163398,335,23,40
