paper_id,segment,cell_preview
1,54.3 (3d),"Cube (fcu):
Mix A: 54.3 (3d), 62.3 (7d), 72.4 (28d), 85.0 (150d)
Mix Aa-10: 46.2 (3d), 56.0 (7d), 68.1 (28d), 71.1 (150d"
1,62.3 (7d),"Cube (fcu):
Mix A: 54.3 (3d), 62.3 (7d), 72.4 (28d), 85.0 (150d)
Mix Aa-10: 46.2 (3d), 56.0 (7d), 68.1 (28d), 71.1 (150d"
1,72.4 (28d),"Cube (fcu):
Mix A: 54.3 (3d), 62.3 (7d), 72.4 (28d), 85.0 (150d)
Mix Aa-10: 46.2 (3d), 56.0 (7d), 68.1 (28d), 71.1 (150d"
1,85.0 (150d),"Cube (fcu):
Mix A: 54.3 (3d), 62.3 (7d), 72.4 (28d), 85.0 (150d)
Mix Aa-10: 46.2 (3d), 56.0 (7d), 68.1 (28d), 71.1 (150d"
2,1-day range ~2837.5 MPa,GRAPH-DERIVED: 1-day range ~2837.5 MPa; 28-day range ~5972.5 MPa (depending on RHA type and replacement level)
2,28-day range ~5972.5 MPa (depending on RHA type and replacement level),GRAPH-DERIVED: 1-day range ~2837.5 MPa; 28-day range ~5972.5 MPa (depending on RHA type and replacement level)
3,20.8 to 51.1,7-day: 20.8 to 51.1; 28-day: 31.5 to 60.4; 91-day: 35.5 to 68.5
3,31.5 to 60.4,7-day: 20.8 to 51.1; 28-day: 31.5 to 60.4; 91-day: 35.5 to 68.5
3,35.5 to 68.5,7-day: 20.8 to 51.1; 28-day: 31.5 to 60.4; 91-day: 35.5 to 68.5
4,M0=11.6,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M1=12.0,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
