paper_id,replacement_pct,age_days,strength_mpa,is_range
0,7.0,3.0,20.0,False
0,10.0,3.0,20.0,False
0,15.0,3.0,20.0,False
0,7.0,7.0,29.5,False
0,10.0,7.0,30.5,False
0,15.0,7.0,31.0,False
0,7.0,28.0,44.5,False
0,10.0,28.0,46.0,False
0,15.0,28.0,47.5,False
0,7.0,56.0,52.5,False
0,10.0,56.0,54.0,False
0,15.0,56.0,56.0,False
0,7.0,90.0,54.5,False
0,10.0,90.0,55.5,False
0,15.0,90.0,58.4,False
1,10.0,3.0,46.2,False
1,10.0,7.0,56.0,False
1,10.0,28.0,68.1,False
1,10.0,150.0,71.1,False
1,20.0,3.0,35.3,False
1,20.0,7.0,46.8,False
1,20.0,28.0,57.3,False
1,20.0,150.0,57.4,False
1,30.0,3.0,31.5,False
1,30.0,7.0,39.3,False
1,30.0,28.0,47.7,False
1,30.0,150.0,48.8,False
1,10.0,3.0,47.0,False
1,10.0,7.0,61.0,False
1,10.0,28.0,71.0,False
1,10.0,150.0,72.4,False
1,20.0,3.0,46.7,False
1,20.0,7.0,56.0,False
1,20.0,28.0,70.2,False
1,20.0,150.0,70.3,False
1,30.0,3.0,43.1,False
1,30.0,7.0,51.7,False
1,30.0,28.0,63.0,False
1,30.0,150.0,63.2,False
1,30.0,7.0,36.6,False
1,30.0,28.0,46.3,False
1,30.0,150.0,56.0,False
1,10.0,7.0,32.9,False
1,10.0,28.0,43.3,False
1,20.0,7.0,26.3,False
1,20.0,28.0,36.7,False
1,30.0,7.0,24.2,False
1,30.0,28.0,31.0,False
1,10.0,7.0,35.7,False
1,10.0,28.0,45.7,False
1,20.0,7.0,33.8,False
1,20.0,28.0,45.0,False
1,30.0,7.0,32.5,False
1,30.0,28.0,39.7,False
4,5.0,1.0,5.0,False
4,5.0,3.0,5.0,False
4,5.0,7.0,5.0,False
4,5.0,28.0,5.0,False
4,5.0,14.0,5.0,False
4,5.0,90.0,5.0,False
6,0.0,3.0,16.5,False
6,0.0,7.0,30.2,False
6,0.0,28.0,40.3,False
6,0.0,90.0,50.3,False
6,7.0,3.0,16.8,False
6,7.0,7.0,32.4,False
6,7.0,28.0,42.8,False
6,7.0,90.0,54.4,False
6,10.0,3.0,17.6,False
6,10.0,7.0,32.6,False
6,10.0,28.0,44.2,False
6,10.0,90.0,59.0,False
6,15.0,3.0,17.9,False
6,15.0,7.0,34.2,False
6,15.0,28.0,46.9,False
6,15.0,90.0,63.2,False
8,5.0,28.0,40.2,False
8,5.0,56.0,43.1,False
8,5.0,90.0,45.0,False
8,5.0,180.0,48.6,False
8,10.0,28.0,33.9,False
8,10.0,56.0,37.4,False
8,10.0,90.0,40.0,False
8,10.0,180.0,42.7,False
8,15.0,28.0,34.4,False
8,15.0,56.0,38.6,False
8,15.0,90.0,41.1,False
8,15.0,180.0,43.5,False
8,20.0,28.0,36.3,False
8,20.0,56.0,40.3,False
8,20.0,90.0,42.3,False
8,20.0,180.0,45.0,False
8,5.0,28.0,41.5,False
8,5.0,56.0,46.5,False
8,5.0,90.0,49.0,False
8,5.0,180.0,51.6,False
8,10.0,28.0,41.8,False
8,10.0,56.0,47.8,False
