paper_id,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,specific_gravity,mean_particle_um,specific_surface,bet_surface,blaine,wb_ratio,burn_temp_c,burn_duration,grind_duration,pozzolanic_reactivity,activation_method,mineralogy,processing_method,reported_optimum_pct,empirical_optimum_pct
0,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,15.0,15.0
1,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.31428571428571433,550.0,24.0,90.0,,both,,burn_other,10.0,10.0
2,93.3,0.5333333333333333,0.3666666666666667,0.3,0.39999999999999997,1.6666666666666667,0.2333333333333333,1.4333333333333336,2.6,,2.05,22.438,18.436666666666667,15.306666666666667,,0.4,790.0,,7.0,,mechanical,mixed,controlled_burn,,
3,87.6,0.675,0.15,0.13,0.275,0.32,0.91,2.9000000000000004,7.324999999999999,69.025,2.1100000000000003,,,288.0,,0.4066666666666667,,,,2.0,both,mixed,controlled_burn,,
4,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.1,87.0,2.06,3.8,36.47,36.47,,0.53,650.0,1.0,,2.0,both,crystalline,burn_other,30.0,5.0
5,85.77,0.67,0.24,0.32,0.17,,0.09,0.81,,,,,,,,0.6,,,,2.0,,,other,10.0,
6,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,15.0,15.0
7,84.1,0.845,0.08249999999999999,0.20500000000000002,0.275,0.99,0.075,1.145,12.149999999999999,,,2.9,,67.0,,,666.6666666666666,3.0,12.0,1.0,both,,burn_other,30.0,
8,94.5,0.86,0.34500000000000003,0.275,0.21,,0.32,1.43,0.22999999999999998,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,10.0,10.0
9,87.86,1.3,0.68,0.93,0.35,,0.12,2.37,,95.0,,50.0,,30.235,,0.4,700.0,,105.0,2.0,mechanical,,controlled_burn,10.0,
10,87.16000000000001,0.8333333333333334,0.37999999999999995,0.35000000000000003,0.42333333333333334,0.19666666666666666,1.5666666666666667,3.68,7.413333333333334,90.0,2.0733333333333337,17.125,,,,,,,,,,mixed,burn_other,10.0,
11,88.32,0.67,0.46,0.67,0.44,,1.7066666666666668,2.91,5.81,,2.11,93.71818181818183,16.88571428571429,16.88571428571429,,0.53,690.0,24.0,225.0,2.0,both,amorphous,controlled_burn,10.0,
12,87.6,0.675,0.075,0.13,0.275,0.32,0.91,2.9000000000000004,7.324999999999999,69.025,2.1100000000000003,8.0,,26550.0,,0.4225,,,,2.0,mechanical,mixed,controlled_burn,15.0,
13,47.5725,1.97875,1.87125,1.9275000000000002,2.07125,1.8293750000000002,1.79875,2.7731250000000003,3.9275,,2.73,7.391764705882353,,,2583.4444444444443,0.49,700.0,6.0,127.5,2.0,mechanical,crystalline,burn_other,15.0,0.0
14,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,20.0,10.0
15,82.5,,,,,,,,,,2.27,,,,,22.677500000000002,,,,2.0,,,burn_other,10.0,0.0
16,90.9,0.8,0.83,0.6,0.56,,,,,,,,,,376.8,0.53,,,,,mechanical,mixed,uncontrolled_burn,20.0,0.0
17,91.32,,,,,,,,3.81,87.96,,6.583333333333333,250.0,,,0.19,,,90.0,2.0,mechanical,amorphous,uncontrolled_burn,10.0,10.0
18,82.35000000000001,0.94,0.07666666666666667,0.67,0.16666666666666666,0.016666666666666666,0.043333333333333335,2.9133333333333336,11.976666666666667,,,50.26666666666667,,,,,,,,,,amorphous,burn_other,,
19,94.94,1.2850000000000001,0.345,0.49,0.42500000000000004,0.01,0.1,1.4249999999999998,0.38,,,36.666666666666664,,,,0.55,,,1.0,2.0,mechanical,mixed,uncontrolled_burn,15.0,15.0
20,80.0,2.11,1.125,0.515,0.22499999999999998,0.5,1.57,1.8,4.775,90.0,2.2,7.5,35.0,28800.0,7233.333333333333,,,,,2.0,,,burn_other,20.0,
21,86.75,0.44999999999999996,0.895,2.4349999999999996,0.55,,,,4.925,,2.1,,,,,0.798,800.0,,,,both,mixed,controlled_burn,25.0,
22,75.0,3.3,1.29,0.78,0.22,,0.4,1.5,3.67,,2.53,,,,,0.38,,,,,,,controlled_burn,10.0,0.0
23,80.05,0.7050000000000001,,0.54,0.985,,0.795,1.32,,87.5,2.11,63.8,,,,0.5166666666666666,,,,2.0,mechanical,,burn_other,,
24,,,,,,,,,,,1.5366666666666668,,,,,,,,,,,,uncontrolled_burn,10.0,10.0
25,,,,,,,,,,97.5,,,,,,,,,,2.0,,mixed,burn_other,14.3,
26,90.0,,,,,,,,2.27,,,45.0,50.1,,,0.3575,500.0,120.0,,2.0,both,amorphous,controlled_burn,20.0,
27,83.6,0.84,0.76,0.64,0.4,0.69,,,14.2,,,,,,,,,,,,,,controlled_burn,10.0,0.0
28,50.655,5.4975000000000005,5.0775,5.1075,5.209999999999999,5.0525,200.0,5.7375,7.4174999999999995,24.197142857142858,,,,,2667.5,0.5375000000000001,,,,2.0,mechanical,crystalline,burn_other,10.0,10.0
29,86.94,2.6,0.2,0.1,0.4,,0.45,2.2249999999999996,3.7750000000000004,,2.3,,,,,0.45,,,1.0,,mechanical,,uncontrolled_burn,20.0,
30,,,,,,,,,,,,,,,,,,,,,mechanical,,burn_other,0.0,0.0
31,92.75,,,,,,,2.0,,,,,525.0,,,,650.0,2.0,,,thermal,amorphous,burn_other,,
32,89.745,0.8939999999999999,0.4283333333333334,0.4833333333333332,0.5916666666666668,0.54,0.47,2.0833333333333335,4.32,,,,,,,0.5,,,,2.0,mechanical,,controlled_burn,10.0,
33,77.82000000000001,0.5,3.2,0.305,0.96,,,0.11499999999999999,,,0.9249999999999999,190.0,,,,0.5,650.0,1.0,,2.0,both,amorphous,controlled_burn,10.0,10.0
34,52.512857142857136,,10.951428571428574,11.025714285714287,,,,11.105714285714287,1.1966666666666665,,1.0916666666666666,69.41722222222222,39.00611111111111,,,0.45,,,25.0,,mechanical,,uncontrolled_burn,20.0,
35,79.84,0.55,0.14,1.16,0.19,,0.08,2.9,,,1.95,,,,,0.55,,,,,,,,10.0,10.0
36,87.96,1.14,0.3,0.52,,0.47,,3.29,3.81,42.925000000000004,2.1,2.746,,,,0.27666666666666667,,,45.0,2.0,mechanical,amorphous,uncontrolled_burn,,20.0
37,419.275,375.235,500.03000000000003,378.4875,500.2966666666666,,,375.545,,97.0,,,,,,,750.0,1.0,15.0,,mechanical,,controlled_burn,,
38,90.4,,1.7,1.6,0.7,,,,,90.4,,,,,,0.5,,,,2.0,,amorphous,,10.0,10.0
39,,,,,,,,,,,2.3,45.0,,,,0.4,,,,,,,other,10.0,0.0
40,63.332499999999996,3.2257142857142855,3.5142857142857147,2.165,1.5625,1.4137499999999998,1.3025,2.5475000000000003,10.154285714285715,432.4666666666667,2.29,28.25,52.400000000000006,,7000.0,0.4366666666666666,487.75,30.833333333333332,150.0,2.0,mechanical,mixed,controlled_burn,10.0,
41,82.14,1.2125,1.34,1.27,1.9625,0.1675,0.14,2.09,,,,,,,,,600.0,8.0,,,thermal,,burn_other,12.45,
42,86.73,0.39,0.04,0.61,0.08,1.32,9.76,0.01,0.54,,,,,,,0.4,600.0,5.0,,2.0,thermal,,burn_other,20.0,20.0
43,,,,,,,,,136.22666666666666,80.0,,264.6666666666667,145.65533333333335,145.65533333333335,,0.45999999999999996,,,,2.0,mechanical,,other,10.0,
44,75.0,,,,,,,,4.8933333333333335,80.0,,133.33333333333334,14.322000000000001,14.322000000000001,,0.45999999999999996,,,,,mechanical,,other,10.0,
45,,,,,,,,,,,,,,,,0.5166666666666666,725.0,24.0,,,thermal,,burn_other,10.0,
46,,,,,,,,,,,2.01,,,,,0.5,,,10.0,,mechanical,,other,10.0,
47,90.275,0.9500000000000001,0.48,0.35,0.4,0.25,0.37,2.355,5.2,82.5,2.1100000000000003,6.205,1339.9875,,2904.2,0.40857142857142853,600.0,4.5,,,both,crystalline,controlled_burn,10.0,
48,,,,,,,,,,,,,,,,,,,,,both,,uncontrolled_burn,10.0,10.0
49,85.0,,,,,,,,,85.0,2.3,25.0,,,,0.4,650.0,24.0,,,thermal,,controlled_burn,7.5,7.5
50,93.47,0.87,0.92,1.08,3.18,,,,,,,,,,163.575,,500.0,10.0,1.5,2.0,both,amorphous,controlled_burn,10.0,10.0
51,88.84,1.78,0.8,0.39,0.92,0.35,1.1,2.8,2.02,90.0,2.31,30.0,9040.0,,,0.5,650.0,90.0,,,both,,burn_other,15.0,
52,75.3,2.95,1.4,1.98,2.1,,0.98,5.55,5.61,,2.1,,,,,,,,,2.0,,,burn_other,,
53,94.38,1.2,0.3,0.07,0.82,1.19,0.1,1.06,,,,5.0,122.9,122.9,,0.5,600.0,2.0,20.0,2.0,both,amorphous,controlled_burn,15.0,15.0
54,55.29333333333333,0.9200000000000002,0.9200000000000002,0.8911111111111111,0.8755555555555556,1.216,0.316,0.8944444444444445,2.31,99.0,2.1,45.0,9.24,359.3333333333333,,,800.0,1.1666666666666667,,2.0,none,mixed,burn_other,10.0,10.0
55,59.14444444444444,2.3255555555555554,1.5999999999999999,2.09,1.8888888888888888,1.8855555555555554,1.7655555555555555,4.413333333333333,4.7212499999999995,92.0,,12.03,130.0,27.32242857142857,,0.185,,,51.666666666666664,2.0,mechanical,amorphous,burn_other,10.0,
56,91.43222222222224,0.8300000000000001,1.0077777777777779,0.40222222222222226,0.4375,0.9850000000000001,0.11142857142857143,2.154444444444445,5.169999999999999,,,,,,,,,,,2.0,,,burn_other,7.5,
57,184.85,138.41750000000002,138.12625,138.12375000000003,138.10375000000002,,138.09625,138.75625,,187.525,139.01375,,,74.0,1425.0,0.5,437.875,138.75,23.333333333333332,2.0,mechanical,mixed,uncontrolled_burn,20.0,40.0
58,89.85,0.79,4.79,0.86,,1.34,,1.38,0.53,50.4,2.44,,264.3636363636364,264.3636363636364,,0.36,475.0,3.0,22.666666666666668,2.0,both,mixed,other,12.0,12.0
59,2.0,,,,,,,,,2.0,,,,,,0.2,,,5.0,2.0,mechanical,crystalline,burn_other,50.0,100.0
60,,,,,,,,,,,,,,,,0.45,,,,,,,,15.0,
61,86.94,1.25,0.2,0.1,0.4,,0.45,2.2249999999999996,,,2.3,,,,,0.39,,,,2.0,,,controlled_burn,7.5,7.5
62,85.39666666666666,1.605,3.115,0.7899999999999999,1.205,0.365,0.35500000000000004,2.13,6.48,90.0,2.154,22.416666666666668,93.235,351.5,,0.3833333333333333,675.0,,125.88888888888889,2.0,both,mixed,uncontrolled_burn,10.0,
63,87.51,0.71,0.61,0.63,0.52,,0.05,1.87,,,2.0,,,,,,,,5.0,,mechanical,crystalline,other,25.0,40.0
