paper_id,Paper Title,Authors,Journal Name,Publication Year,DOI (Digital Object Identifier),Material Type::Extracted Value,Source Material::Extracted Value,RHA Processing Method::Extracted Value,RHA Processing Parameters::Extracted Value,Activation Method::Extracted Value,Activation Parameters::Extracted Value,Carbonation Conditions::Extracted Value,Thermal Treatment Temperature::Extracted Value,Thermal Treatment Duration::Extracted Value,Mechanical Activation Method::Extracted Value,Grinding Duration::Extracted Value,Grinding Speed::Extracted Value,Other Activation Conditions::Extracted Value,Water-to-Binder Ratio (w/b)::Extracted Value,Particle Size Distribution::Extracted Value,d10::Extracted Value,d50::Extracted Value,d90::Extracted Value,Mean Particle Size::Extracted Value,Specific Surface Area::Extracted Value,BET Surface Area::Extracted Value,Blaine Fineness::Extracted Value,Water Absorption Capacity::Extracted Value,Specific Gravity::Extracted Value,Bulk Density::Extracted Value,SiO2::Extracted Value,CaO::Extracted Value,Al2O3::Extracted Value,Fe2O3::Extracted Value,MgO::Extracted Value,SO3::Extracted Value,Na2O::Extracted Value,K2O::Extracted Value,Loss on Ignition (LOI)::Extracted Value,Other Reported Oxides::Extracted Value,XRD Phases::Extracted Value,Mineral Composition::Extracted Value,Amorphous Content::Extracted Value,Pozzolanic Reactivity::Extracted Value,Pozzolanic Activity Index::Extracted Value,Strength Activity Index::Extracted Value,Heat Release Data::Extracted Value,Other Reactivity Indicators::Extracted Value,Cement Replacement Level(s)::Extracted Value,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Extracted Value,Compressive Strength::Extracted Value,Relative Compressive Strength (% of control if reported)::Extracted Value,7-Day Heat Release::Extracted Value,Relative Heat Release (% of control if reported)::Extracted Value,Initial Setting Time::Extracted Value,Final Setting Time::Extracted Value,Flexural Strength::Extracted Value,Relative Flexural Strength (% of control if reported)::Extracted Value,Shrinkage::Extracted Value,Relative Shrinkage (% of control if reported)::Extracted Value,Material Type::Unit,Source Material::Unit,RHA Processing Method::Unit,RHA Processing Parameters::Unit,Activation Method::Unit,Activation Parameters::Unit,Carbonation Conditions::Unit,Thermal Treatment Temperature::Unit,Thermal Treatment Duration::Unit,Mechanical Activation Method::Unit,Grinding Duration::Unit,Grinding Speed::Unit,Other Activation Conditions::Unit,Water-to-Binder Ratio (w/b)::Unit,Particle Size Distribution::Unit,d10::Unit,d50::Unit,d90::Unit,Mean Particle Size::Unit,Specific Surface Area::Unit,BET Surface Area::Unit,Blaine Fineness::Unit,Water Absorption Capacity::Unit,Specific Gravity::Unit,Bulk Density::Unit,SiO2::Unit,CaO::Unit,Al2O3::Unit,Fe2O3::Unit,MgO::Unit,SO3::Unit,Na2O::Unit,K2O::Unit,Loss on Ignition (LOI)::Unit,Other Reported Oxides::Unit,XRD Phases::Unit,Mineral Composition::Unit,Amorphous Content::Unit,Pozzolanic Reactivity::Unit,Pozzolanic Activity Index::Unit,Strength Activity Index::Unit,Heat Release Data::Unit,Other Reactivity Indicators::Unit,Cement Replacement Level(s)::Unit,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Unit,Compressive Strength::Unit,Relative Compressive Strength (% of control if reported)::Unit,7-Day Heat Release::Unit,Relative Heat Release (% of control if reported)::Unit,Initial Setting Time::Unit,Final Setting Time::Unit,Flexural Strength::Unit,Relative Flexural Strength (% of control if reported)::Unit,Shrinkage::Unit,Relative Shrinkage (% of control if reported)::Unit
0,Mechanical Properties and Durability of Concretes Containing Rice Husk Ash as Supplementary Cementing Material,"A.A.Ramezanianpour, P.Pourbeik, M.Mahdikhani, and F.Moodi",Second International Conference on Sustainable Construction Materials and Technologies,2010,,"Rice Husk Ash (RHA), RHA-650-60",Rice husks from North of Iran,Controlled burning in a specially designed furnace,Temperature of 650 °C and 60 minutes burning time,Thermal activation,Temperature of 650 °C and 60 minutes burning time,,650,60,,,,Blowing air used to regulate temperatures,0.5,,,,,,,,3600,,2.15,,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,"P2O5: 0.41, TiO2: 0.02",Quartz,Quartz,Up to 90 / Non-crystalline,High pozzolanic activity,High,,,Pozzolanic reactions between amorphous silica of RHA and calcium hydroxide,"7, 10, 15",15,"3 days: 20 (7%), 20 (10%), 20 (15%); 7 days: 29.5 (7%), 30.5 (10%), 31 (15%); 28 days: 44.5 (7%), 46 (10%), 47.5 (15%); 56 days: 52.5 (7%), 54 (10%), 56 (15%); 90 days: 54.5 (7%), 55.5 (10%), 58.4 (15%)",,,,,,,,,,,,,"°C, min",,"°C, min",,°C,min,,,,,,,,,,,,,cm²/gram,,,,%,%,%,%,%,%,%,%,%,%,,,%,,,,,,%,%,MPa,%,,%,,,,%,,%
1,Effect of rice husk ash on high strength concrete,Muhammad Shoaib Ismail and A. M. Waliuddin,Construction and Building Materials,1996,,rice husk ash (RHA) / RHA passing #200 and #325 sieves,"rice husk, an agro-waste material / local market",Burning and grinding in a ball mill,Burning duration: 24 h; Ventilation: top and bottom; Grinding: ball mill; Sieving: over #200 and #325 sieves,Thermal treatment and mechanical grinding,Grinding time: 90 min; Burning temperature: 400-700°C,,400-700,24,Ball mill grinding,90,,,"0.24, 0.31, 0.33, 0.36, 0.30, 0.32, 0.34",,,,,,,,,,2.11,,80,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,,Crystalline structure,,,,,,Slow rate of hydration,"10, 20, 30",10% (or between 10% and 20%),"Cube (fcu):
Mix A: 54.3 (3d), 62.3 (7d), 72.4 (28d), 85.0 (150d)
Mix Aa-10: 46.2 (3d), 56.0 (7d), 68.1 (28d), 71.1 (150d)
Mix Aa-20: 35.3 (3d), 46.8 (7d), 57.3 (28d), 57.4 (150d)
Mix Aa-30: 31.5 (3d), 39.3 (7d), 47.7 (28d), 48.8 (150d)
Mix Ab-10: 47.0 (3d), 61.0 (7d), 71.0 (28d), 72.4 (150d)
Mix Ab-20: 46.7 (3d), 56.0 (7d), 70.2 (28d), 70.3 (150d)
Mix Ab-30: 43.1 (3d), 51.7 (7d), 63.0 (28d), 63.2 (150d)

Cylinder (fc):
Mix A: 36.6 (7d), 46.3 (28d), 56.0 (150d)
Mix Aa-10: 32.9 (7d), 43.3 (28d)
Mix Aa-20: 26.3 (7d), 36.7 (28d)
Mix Aa-30: 24.2 (7d), 31.0 (28d)
Mix Ab-10: 35.7 (7d), 45.7 (28d)
Mix Ab-20: 33.8 (7d), 45.0 (28d)
Mix Ab-30: 32.5 (7d), 39.7 (28d)","3-day % of 28-day strength: A: 75.0%, Aa-10: 67.9%, Aa-20: 61.6%, Aa-30: 66.0%, Ab-10: 66.2%, Ab-20: 66.5%, Ab-30: 68.4%
7-day % of 28-day strength: A: 86.0%, Aa-10: 82.0%, Aa-20: 82.0%, Aa-30: 82.0%, Ab-10: 86.0%, Ab-20: 80.0%, Ab-30: 82.0%",,,,,,,,,,,,,,,,°C,h,,min,,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,%,%,MPa,%,,,,,,,,
2,Performance of rice husk ash produced using a new technology as a mineral admixture in concrete,"M. Nehdi, J. Duquette, A. El Damatty",Cement and Concrete Research,2003,10.1016/S0008-8846(03)00038-3,Rice husk ash (RHA) / Egyptian rice husk ash (EG-RHA),Egyptian rice husk,Controlled combustion in a Torbed reactor,Combustion temperature: 750 °C (RHA-A and RHA-C) and 830 °C (RHA-B); RHA-C includes external jet of process air stream on sidewall,Mechanical grinding,Vibratory ring pulverizer with 100-ml capacity,,"750 (RHA-A, RHA-C), 830 (RHA-B)",Short residency time,Grinding using a vibratory ring pulverizer,Target mean particle size reached of 7 µm,,External jet of air on the sidewall of the reactor at hot spots (for RHA-C),0.40,"Passing 45 µm: 98.2 (RHA-A), 97.7 (RHA-B), 97.9 (RHA-C); Raw particle size range: 44 to 46",,,,"Raw: 4446; Ground: 7.15 (RHA-A), 7.63 (RHA-B), 7.41 (RHA-C)","Nitrogen adsorption after grinding: 17.96 (RHA-A), 13.71 (RHA-B), 23.64 (RHA-C)","Nitrogen adsorption before grinding: 13.01 (RHA-A), 9.99 (RHA-B), 22.92 (RHA-C)",,,"2.05 (RHA-A), 2.05 (RHA-B), 2.05 (RHA-C)",,"94.6 (RHA-A), 93.7 (RHA-B), 91.6 (RHA-C)","0.4 (RHA-A), 0.6 (RHA-B), 0.6 (RHA-C)","0.3 (RHA-A), 0.3 (RHA-B), 0.5 (RHA-C)","0.3 (RHA-A), 0.2 (RHA-B), 0.4 (RHA-C)","0.3 (RHA-A), 0.4 (RHA-B), 0.5 (RHA-C)","1.0 (RHA-A), 1.4 (RHA-B), 2.6 (RHA-C)","0.2 (RHA-A), 0.2 (RHA-B), 0.3 (RHA-C)","1.3 (RHA-A), 1.4 (RHA-B), 1.6 (RHA-C)","1.8 (RHA-A), 2.3 (RHA-B), 3.7 (RHA-C)","Equivalent alkalis (Na2O + 0.658 K2O): 1.1 (RHA-A), 1.2 (RHA-B), 1.4 (RHA-C); P2O5: 0.3 (RHA-A), 0.4 (RHA-B), 0.4 (RHA-C); TiO2: 0.03 (RHA-A), 0.03 (RHA-B), 0.04 (RHA-C); Carbon content: 1.0 (RHA-A), 1.4 (RHA-B), 2.6 (RHA-C)",Amorphous silica with very small crystalline silica (SiO2) peaks for RHA-A and RHA-B; distinct crystalline silica (SiO2) peak for RHA-C,Silica (SiO2),Mainly amorphous (RHA-A and RHA-B),,"7 days: 88 (RHA-A), 105 (RHA-B), 117 (RHA-C); 28 days: 122 (RHA-A), 117 (RHA-B), 144 (RHA-C)",,,"Water requirement: 99 (RHA-A), 95 (RHA-B), 100 (RHA-C)","7.5, 10, 12.5",,GRAPH-DERIVED: 1-day range ~2837.5 MPa; 28-day range ~5972.5 MPa (depending on RHA type and replacement level),"Up to 120% (7.5% level), 127% (10% level), 140% (12.5% level) at 56 days",,,,,,,,,,,,°C,,mL,,°C,,,,,,,% / µm,,,,µm,m²/g,m²/g,,,,,%,%,%,%,%,%,%,%,%,%,,,,,%,,,%,%,,MPa,%,,,,,,,,
3,Strength development of concrete with rice-husk ash,Gemma Rodríguez de Sensale,Cement & Concrete Composites,2006,10.1016/j.cemconcomp.2005.09.005,Rice-husk ash (RHA) / residual RHA / homogeneous ash produced by controlled incineration,Rice husk from rice paddy milling industry in Uruguay (UY RHA); controlled incineration from the United States (USA RHA),Residual RHA: Processed waste dry-milled; USA RHA: Controlled incineration,Dry-milled for necessary time to obtain median particle size of 8 ?m,Thermal treatment (incineration for USA RHA) / Mechanical activation (dry-milling for UY RHA),,,,,Dry-milling,,,,"0.32, 0.40, 0.50",,,UY RHA: 8; USA RHA: 8,,,,"UY RHA: 28,800; USA RHA: 24,300",,,UY RHA: 2.06; USA RHA: 2.16,,UY RHA: 87.2; USA RHA: 88,UY RHA: 0.55; USA RHA: 0.8,UY RHA: 0.15; USA RHA: NULL,UY RHA: 0.16; USA RHA: 0.1,UY RHA: 0.35; USA RHA: 0.2,UY RHA: 0.32; USA RHA: NULL,UY RHA: 1.12; USA RHA: 0.7,UY RHA: 3.60; USA RHA: 2.2,UY RHA: 6.55; USA RHA: 8.1,"Manganese oxide (MnO): UY RHA: NULL, USA RHA: 0.2",USA RHA: non-crystalline; UY RHA: crystalline (cristobalite),Cristobalite in UY RHA,USA RHA: 98.5 (reactive silica); UY RHA: 39.55 (reactive silica),Reactive silica: USA RHA = 98.5%; UY RHA = 39.55%,,UY RHA: 92.93; USA RHA: 92.4 (according to ASTM C311-98b),,,"10, 20",,7-day: 20.8 to 51.1; 28-day: 31.5 to 60.4; 91-day: 35.5 to 68.5,,,,,,,,,,,,,,,,,,,,,,,,,,?m,,,,m²/kg,,,,,%,%,%,%,%,%,%,%,%,%,,,%,%,,%,,,%,,MPa,,,,,,,,,
4,Rice husk ash blended cement: Assessment of optimal level of replacement for strength and permeability properties of concrete,"K. Ganesan, K. Rajagopal, K. Thangavel",Construction and Building Materials,2008,10.1016/j.conbuildmat.2007.06.011,Rice husk ash (RHA),Rice husk residue,Thermal treatment and pulverization,Rate of temperature increase: 200 °C/h; Heating duration: 3 h 15 min; Isothermal holding time: 1 h; Final mean grain size: 3.8 µm,Thermal and Mechanical Activation,Controlled thermal burning followed by pulverization,,650,1,Pulverizing,,,Heating rate: 200 °C per hour; Total heating time to target temp: 3 h and 15 min,0.53,Distribution curve reported in Fig. 3,,,,3.80,36.47,36.47,,,2.06,Dense: 0.49; Loose: 0.40,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.10,,"Quartz, Coesite (silicon dioxide), Cristobalite","Mostly amorphous silica with small quantities of quartz, coesite, crystobalite",Mostly amorphous (87% total silica),Efficient pozzolanic material,,,,,"5, 10, 15, 20, 25, 30, 35",30,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1, M2=24.4, M3=28.9, M4=24.8, M5=23.6, M6=20.74, M7=18.4;
Mortar (7-day): M0=27.2, M1=27.4, M2=27.8, M3=29.3, M4=28.3, M5=27.6, M6=27.4, M7=26.4;
Mortar (28-day): M0=37.0, M1=38.9, M2=42.8, M3=46.7, M4=39.8, M5=38.3, M6=37.0, M7=36.0;
Concrete (7-day): R0=32.3, R1=27.6, R2=28.0, R3=36.0, R4=39.3, R5=36.1, R6=37.6, R7=31.1;
Concrete (14-day): R0=37.1, R1=34.2, R2=41.3, R3=41.8, R4=29.7, R5=38.8, R6=33.5, R7=35.1;
Concrete (28-day): R0=27.2, R1=40.0, R2=35.3, R3=29.3, R4=42.5, R5=28.7, R6=27.4, R7=25.7;
Concrete (90-day): R0=38.3, R1=43.3, R2=44.8, R3=45.7, R4=46.0, R5=43.0, R6=38.7, R7=37.2",,,,"0% CRL=78, 5% CRL=100, 10% CRL=108, 15% CRL=117, 20% CRL=106, 25% CRL=98, 30% CRL=88, 35% CRL=82","0% CRL=300, 5% CRL=283, 10% CRL=262, 15% CRL=249, 20% CRL=244, 25% CRL=239, 30% CRL=232, 35% CRL=221",,,,,Unitless,Unitless,Unitless,Unitless,Unitless,Unitless,,°C,h,Unitless,,,Unitless,Unitless,Unitless,,,,µm,m²/g,m²/g,,,Unitless,g/cm³,%,%,%,%,%,,%,%,%,,Unitless,Unitless,%,Unitless,,,,,%,%,MPa,,,,minutes,minutes,,,,
5,Influence of rice husk ash as supplementary material in cement paste and concrete,"Marshal G. Calica, Jr.",NLR Journal,2008,,Rice Husk Ash (RHA),Burnt rice husks from rice mills,Filtering in No. 200 sieve,75 ?m sieve opening (No. 200 sieve),,,,,,,,,,"0.55, 0.60, 0.65",,,,,,,,,,,,85.77,0.67,-0.24,0.32,-0.17,,0.09,0.81,,,,,,Highly active pozzolan,,,,Pozzolanic,"0, 10, 20",10,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35",,,,"210, 108, 196","97, 212, 385",,,,,,,,?m,,,,,,,,,,,,,,,,,,,,,,%,%,%,%,%,,%,%,,,,,,,,,,,%,%,MPa,,,,Min.,Min.,,,,
6,The Effect of Rice Husk Ash on Mechanical Properties and Durability of Sustainable Concretes,"A. A. Ramezanianpour, M. Mahdi khani, Gh. Ahmadibeni",International Journal of Civil Engineering,2009,,Rice Husk Ash (RHA),Rice husk,Controlled burning in a specially designed furnace,Burning temperature: 650 °C; Burning duration: 60 minutes,Thermal treatment (controlled burning),650 °C for 60 min,,650,60,,,,"Burning temperatures of 550, 600, 650, 700, 750 °C for 30, 60, 90 minutes, and 1100 °C for 5 minutes were investigated during optimization.",,,,,,,,,3600,,2.15,,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,P2O5: 0.41; TiO2: 0.02,Non-crystalline / Amorphous with minor quartz crystal,Quartz,Up to 90,High,High,3-day: 102%; 7-day: 106%; 28-day: 110%,,,"0, 7, 10, 15",15% (GRAPH-DERIVED),"CTL: 16.5 (3d), 30.2 (7d), 40.3 (28d), 50.3 (90d)
7% RHA: 16.8 (3d), 32.4 (7d), 42.8 (28d), 54.4 (90d)
10% RHA: 17.6 (3d), 32.6 (7d), 44.2 (28d), 59.0 (90d)
15% RHA: 17.9 (3d), 34.2 (7d), 46.9 (28d), 63.2 (90d)",,,,,,,,,,,,,"°C, minutes",,"°C, min",,°C,minutes,,,,"°C, min",,,,,,,,,cm²/gram,,,,%,%,%,%,%,%,%,%,%,%,,,%,,,% control,,,%,%,MPa,,,,,,,,,
7,Rice Husk Ash as a Supplementary Raw Material for the Production of CelluloseCement Composites with Improved Performance,"Conrado de Souza Rodrigues, Khosrow Ghavami, Piet Stroeven",Waste and Biomass Valorization,2010,10.1007/s12649-010-9017-7,"Rice Husk Ash (RHA), RHA-I, RHA-II",Rice husks,Burning in a fluidized bed kiln (RHA-I); re-burning in a muffle kiln (RHA-II); grinding in a ceramic ball mill,Burning temp: 500750 °C; Re-burning duration: 3 h at 750 °C; Grinding duration: 12 h,Thermal treatment and mechanical grinding,Thermal re-burning at 750 °C for 3 h; Grinding for 12 h in ceramic ball mill,,500750 °C (RHA-I); 750 °C (RHA-II),3,Grinding in ceramic ball mill,12,,,,GRAPH-DERIVED,RHA-I: ~1.2; RHA-II: ~2.1 (GRAPH-DERIVED),RHA-I: ~1.7; RHA-II: ~3.5 (GRAPH-DERIVED),RHA-I: ~3.2; RHA-II: ~7.5 (GRAPH-DERIVED),RHA-I: 1.8; RHA-II: 4.0,,RHA-I: 119; RHA-II: 15,,,,,RHA-I: 73.60; RHA-II: 94.60,RHA-I: 0.76; RHA-II: 0.93,RHA-I: 0.075; RHA-II: 0.09,RHA-I: 0.26; RHA-II: 0.15,RHA-I: 0.27; RHA-II: 0.28,RHA-I: 1.40; RHA-II: 0.58,RHA-I: 0.09; RHA-II: 0.06,RHA-I: 1.17; RHA-II: 1.12,RHA-I: 22.90; RHA-II: 1.40,,,Amorphous silica,,RHA-I: High; RHA-II: Moderate,RHA-I: 119; RHA-II: 15,,,,"15, 30",30,,,,,,,M15-I (eq.): 14.72 ± 1.20; M30-I (eq.): 13.32 ± 1.46; CP15-I (eq.): 14.61 ± 0.75; CP15-I (sat.): 11.75 ± 1.24; CP30-I (eq.): 11.86 ± 0.79; CP30-I (sat.): 10.84 ± 0.48; CP15-II (eq.): 15.31 ± 1.08; CP15-II (sat.): 9.23 ± 0.29; CP30-II (eq.): 16.51 ± 1.02; CP30-II (sat.): 10.95 ± 1.07,,,,,,,,,,,°C,h,,h,,,,,µm,µm,µm,µm,,m²/g,,,,,%,%,%,%,%,%,%,%,%,,,,,,?mS/cm,,,,%,%,,,,,,,MPa,,,
8,Comparison of two processes for treating rice husk ash for use in high performance concrete,"Andres Salas, Silvio Delvasto, Ruby Mejía de Gutiérrez, David Lange",Cement and Concrete Research,2009,10.1016/j.cemconres.2009.05.006,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",Thermal treatment and mechanical grinding by ball milling,Ceramic balls used for ball milling,,600,3,Ball milling,90,,Heating rate of 10°C/min,0.45 (Stage 1 mixes & Stage 2 mixes); 0.47 (TRHA 20% mix),,,,,19 (TRHA); 17 (ChRHA),,"24,000 (TRHA); 274,000 (ChRHA)",,,2160 (TRHA); 2080 (ChRHA),,90.00 (TRHA); 99.00 (ChRHA),1.23 (TRHA); 0.49 (ChRHA),0.68 (TRHA); <0.01 (ChRHA),0.42 (TRHA); 0.13 (ChRHA),0.35 (TRHA); <0.07 (ChRHA),,<0.32 (TRHA); <0.32 (ChRHA),2.80 (TRHA); 0.06 (ChRHA),0.3 (TRHA); 0.16 (ChRHA),"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",Amorphous,,95 (reference to literature for ChRHA),High reactivity,95 (TRHA); 125 (ChRHA),,,Silica Activity Index: 89.5 (TRHA); 99.4 (ChRHA),"5, 10, 15, 20",10,"TRHA 5%: 40.2 (28 d), 43.1 (56 d), 45.0 (90 d), 48.6 (180 d); TRHA 10%: 33.9 (28 d), 37.4 (56 d), 40.0 (90 d), 42.7 (180 d); TRHA 15%: 34.4 (28 d), 38.6 (56 d), 41.1 (90 d), 43.5 (180 d); TRHA 20%: 36.3 (28 d), 40.3 (56 d), 42.3 (90 d), 45.0 (180 d); ChRHA 5%: 41.5 (28 d), 46.5 (56 d), 49.0 (90 d), 51.6 (180 d); ChRHA 10%: 41.8 (28 d), 47.8 (56 d), 50.5 (90 d), 52.8 (180 d); ChRHA 15%: 36.3 (28 d), 40.7 (56 d), 42.7 (90 d), 45.0 (180 d); ChRHA 20%: 33.8 (28 d), 37.4 (56 d), 40.0 (90 d), 42.7 (180 d); Stage 2 TRHA 10%: 44.0 (28 d), 49.0 (56 d), 52.0 (90 d), 52.0 (180 d); Stage 2 ChRHA 10%: 49.0 (28 d), 55.5 (56 d), 57.0 (90 d), 58.0 (180 d)",,,,,,4.5 (TRHA 10%); 5.4 (ChRHA 10%),,,,,,,,,,,°C,h,,min,,°C/min,,,,,,µm,,m²/kg,,,kg/m³,,wt.%,wt.%,wt.%,wt.%,wt.%,,wt.%,wt.%,%,wt.%,,,%,,,,,%,%,%,MPa,%,,%,,,MPa,%,,%
9,"Assessment of the effects of rice husk ash particle size on strength, water permeability and workability of binary blended concrete","Alireza Naji Givi, Suraya Abdul Rashid, Farah Nora A. Aziz, Mohamad Amran Mohd Salleh",Construction and Building Materials,2010,10.1016/j.conbuildmat.2010.04.045,Rice husk ash (RHA),Rice husk,"Controlled incineration, sieving, and grinding",Incineration temperature < 700 °C; Sieving through 150 µm and 33 µm; Grinding in Los Angeles mill for 30 min and 180 min,Mechanical activation (grinding),Grinded using Los Angeles mill,,< 700,,Los Angeles mill grinding,30; 180,,,0.40,Shown in Fig. 2,,,,95; 5,,24; 36.47,,,,,87.86,1.30,0.68,0.93,0.35,,0.12,2.37,,,,,Up to 95,Highly pozzolanic activity,,,,,"5, 10, 15, 20",10,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 28d); 37.9 (M3, 90d); 21.5 (M4, 7d); 36.7 (M4, 28d); 41.3 (M4, 90d); 27.4 (U1, 7d); 39.9 (U1, 28d); 45.8 (U1, 90d); 28.3 (U2, 7d); 43.8 (U2, 28d); 51.2 (U2, 90d); 25.9 (U3, 7d); 39.1 (U3, 28d); 44.4 (U3, 90d); 24.6 (U4, 7d); 38.3 (U4, 28d); 42.8 (U4, 90d)","U2 vs M2: 12 (7d), 7 (28d), 11 (90d)",,,,,,,,,,,,"°C, µm, min",,,,°C,,,min,,,,,,,,µm,,m²/g,,,,,wt.%,wt.%,wt.%,wt.%,wt.%,,wt.%,wt.%,,,,,%,,,,,,%,%,MPa,%,,,,,,,,
