study,config,r2_mean,r2_std,rmse_mean,mae_mean,n_rows,n_papers,repeats
S1_framing,"A: absolute, all papers",-0.1837491904723822,0.3196843547533024,20.299103816910304,16.053970934770103,1284,57,40
S1_framing,B: relative-to-control,-0.1699802373091021,0.23372814950761686,0.32105535372718985,0.24297557240532397,823,44,40
S1_framing,C: blend | control strength,0.3405449449760511,0.20726682248603917,14.176002678946881,10.766140923013301,823,44,40
S2_model,Mean baseline,-0.07952842215148777,0.0972869703605021,18.416275485604334,14.318146708589609,823,44,40
S2_model,Ridge,-23.05744595508316,56.09071390859357,59.69007692528923,31.976948301429452,823,44,40
S2_model,"MLP (64,32)",-229.21925206451078,559.3450130231435,167.5470973302807,70.24412093957075,823,44,40
S2_model,HistGB,0.38362259268644155,0.19607309640781898,13.670315799297033,10.387305759918778,823,44,39
S2_model,GradientBoosting,0.3531783398129142,0.19907095042390477,13.995763856034667,10.562476100525885,823,44,40
S2_model,ExtraTrees,0.3714671293491268,0.1713966297010553,13.892824305744842,10.543202127529854,823,44,40
S2_model,Random Forest,0.3531516590514636,0.2192680964064801,13.983718704883149,10.478489309692971,823,44,40
S2_model,XGBoost,0.3405449449760511,0.20726682248603917,14.176002678946881,10.766140923013301,823,44,40
S2_model,Stack (RF+XGB+Ridge),-0.028028246164855008,0.9997237057935636,16.86748108413492,12.215958735955391,823,44,40
S3_features,"base [repl, age, control]",0.3106571639096311,0.2133626712805706,14.479027456225314,10.767772797890427,823,44,40
S3_features,base + chemistry,0.349657583507371,0.2130378885371946,14.058831077457167,10.506183646529056,823,44,40
S3_features,base + fineness,0.3697923812732258,0.19797135107917563,13.841379900383766,10.636342371618252,823,44,40
S3_features,base + processing,0.2715858078207235,0.283636028286784,14.76877556678337,11.085318074930392,823,44,40
S3_features,base + categorical,0.3728137476945809,0.17543917859255898,13.803048128637482,10.685302948427493,823,44,40
S3_features,base + mix descriptors,0.26766777322511787,0.22585462967927267,14.899544164229045,11.089768143154538,823,44,40
S3_features,base + all numeric,0.35592697425478076,0.22032972991537292,13.977143900483435,10.561196275901048,823,44,40
S3_features,all structured,0.3405449449760511,0.20726682248603917,14.176002678946881,10.766140923013301,823,44,40
S3_features,all + TF-IDF text,0.30983078798476776,0.22794178571380116,14.459325323342927,10.93032023908523,823,44,40
S3_features,all + MiniLM text,0.31285560548198876,0.2439555396922377,14.386745083355027,10.880242887634166,823,44,40
S4_imputation,XGB + native,0.3405449449760511,0.20726682248603917,14.176002678946881,10.766140923013301,823,44,40
S4_imputation,XGB + median,0.298283094444002,0.22534740829772446,14.587079010699089,11.15359932160184,823,44,39
S4_imputation,XGB + KNN,0.29748070985187003,0.24328813556077447,14.591721305222773,11.220979963721733,823,44,39
S4_imputation,XGB + MICE,0.3624466873175324,0.194464806973919,13.871812210916202,10.690893094955747,823,44,36
S4_imputation,Ridge + median,-23.05744595508316,56.09071390859357,59.69007692528923,31.976948301429452,823,44,40
S5_priors,plain,0.3106571639096311,0.2133626712805706,14.479027456225314,10.767772797890427,823,44,40
S5_priors,log-target,0.31135828918731,0.24833642847709106,14.436469792170403,10.665366755951098,823,44,40
S5_priors,"monotone(age, control)",0.3394410592562008,0.22928880749211625,14.102518934892732,10.522247557892847,823,44,40
S5_priors,log + monotone,0.32736330389015905,0.2746193608763766,14.166062030598095,10.510539791606101,823,44,40
S6_data,both sources (reference),0.3405449449760511,0.20726682248603917,14.176002678946881,10.766140923013301,823,44,40
S6_data,Sheet1 rows only,0.3171374219471045,0.19179970776304964,14.417946231571927,11.046826317273936,823,44,40
S6_data,matrix rows only,0.16003344950516557,0.2652704693408346,15.976220349427331,11.824933014087737,823,44,40
S6_data,+ age-unknown rows as 28 d,0.34398783935424293,0.2104305829749694,14.143358663541289,10.6961415128446,823,44,40
S6_data,duplicate mixes averaged,0.38776308870309023,0.16584269243134048,13.691173333779721,10.421858266477916,823,44,40
