model,features,collapse,monotone,r2,r2_std,rmse,mae,repeats
xgb,base+cat+chem,True,True,0.4380527283897585,0.17484474573440786,13.068507663925676,9.92942590731143,40
histgb,base+cat+chem,False,True,0.4271571515892199,0.19466348721631632,13.16062977221137,9.987414853291002,40
xgb,base+cat+chem,True,False,0.424728563502177,0.17757378970118287,13.245537169034009,10.034221811331403,40
xgb,base+cat+fine,True,True,0.4196912320731382,0.16864593462943298,13.27527916630449,10.253059059811736,40
xgb,base+cat+chem,False,True,0.4186920306915309,0.18590076436269085,13.296032001000635,10.111971962466447,40
histgb,base+cat+chem,False,False,0.41589850612737056,0.20128237976560306,13.300366040009322,10.102374562956996,40
xgb,base+cat+fine,True,False,0.4131696622378252,0.16656911496205434,13.376921449834105,10.32729494313659,40
xgb,all structured,True,True,0.4063838087293372,0.16819491906927053,13.456555740785461,10.18601702806817,40
xgb,base+cat,True,False,0.4043166528714523,0.16362255918914434,13.467041708297142,10.44367778861905,40
histgb,base+cat,True,False,0.40060228004679177,0.2020112958479954,13.471997470429566,10.34476720447283,40
histgb,base+cat,False,True,0.39713585967776666,0.19134768780421021,13.483793734791039,10.345065315148785,40
histgb,base+cat,False,False,0.39686081365283676,0.1934253099065481,13.493399742264632,10.33533414989738,40
xgb,base+cat,True,True,0.3964664443631714,0.19567556417710313,13.48237293886874,10.43902359714145,40
histgb,base+cat+fine,False,True,0.3964654700703936,0.21977450081742825,13.475453102195624,10.330121963004148,39
histgb,base,True,True,0.39496937963003786,0.2056626344725861,13.536698939466433,10.21621255025577,40
histgb,base,False,True,0.39174657097166726,0.19373270650441607,13.5694773674197,10.244090348815183,40
xgb,all structured,True,False,0.38795606973397734,0.16662206450929531,13.690996980723963,10.350825178072526,40
histgb,base+cat+chem,True,False,0.38597407965809905,0.1997954799493736,13.667109548880372,10.41561958502252,40
histgb,base+cat+fine,False,False,0.38596300071046385,0.22341969104482698,13.581580438541382,10.42835558274723,39
xgb,base+cat+chem,False,False,0.38534740889224856,0.1921580042698731,13.692154852790248,10.394592309909013,40
histgb,base+cat,True,True,0.38530980091160105,0.19667994374777403,13.631433661174654,10.49497341445585,40
histgb,base+cat+chem,True,True,0.38432580918073445,0.19288970545869805,13.682529935256522,10.430785546701031,40
histgb,all structured,False,False,0.38362259268644155,0.19607309640781898,13.670315799297033,10.387305759918778,39
histgb,all structured,False,True,0.38001672669802555,0.19820861077741608,13.693067468730192,10.435520488923306,39
xgb,base+cat+fine,False,True,0.3771051978276111,0.193900495845358,13.727594471970416,10.603756977142883,40
xgb,base+cat,False,False,0.37652852881831483,0.17680400680699992,13.759608709840355,10.644311716870304,40
xgb,base+cat,False,True,0.37562568452038797,0.19393324088310746,13.717157879397012,10.637158682953885,40
histgb,base+cat+fine,True,False,0.3739235010310977,0.20866493664231228,13.7747312473187,10.580755238902116,39
xgb,all structured,False,True,0.3694296388405184,0.2058059087615687,13.826070399418047,10.521797710660113,40
xgb,base+cat+fine,False,False,0.3684415062275644,0.19673057860393056,13.855135876561405,10.695451904679441,40
histgb,base+cat+fine,True,True,0.3599389949465412,0.21090641827811518,13.935468550285368,10.691266012735985,39
histgb,base,True,False,0.35825616442501446,0.20902808896095257,13.93712274901298,10.507221897409487,40
xgb,base,True,True,0.35305789358767364,0.2232858702570114,13.939271799052312,10.388954851583838,40
histgb,base,False,False,0.3512032161812765,0.21595102973419714,14.01039527083536,10.554691263321725,40
histgb,all structured,True,False,0.34842229974306954,0.20440579072546713,14.05608211798494,10.668148587834118,39
histgb,all structured,True,True,0.34750883531964444,0.19785885027069797,14.067173145814962,10.698456808125986,39
xgb,base,True,False,0.3409030616726761,0.1844440173775055,14.178979598782723,10.60802972093952,40
xgb,all structured,False,False,0.3405863163830176,0.21960885595885268,14.148326317541768,10.708111967972593,40
xgb,base,False,True,0.3394410592562008,0.22928880749211625,14.102518934892732,10.522247557892847,40
xgb,base,False,False,0.3106571639096311,0.2133626712805706,14.479027456225314,10.767772797890427,40
