feature,importance
ctrl_strength,0.47734702
na2o,0.06832221
k2o,0.055598084
loi,0.038740207
pozzolanic_reactivity,0.037375513
age_days,0.03714189
material_family_fines,0.032418154
so3,0.023062427
replacement_pct,0.021428484
cao,0.0214234
sio2,0.020401098
activation_method_multiple,0.018787982
al2o3,0.018390372
mineralogy_nan,0.017097406
processing_method_combined,0.013364082
material_family_other,0.011432356
fe2o3,0.0105958115
mineralogy_mixed,0.009275345
mineralogy_calcite,0.008861662
processing_method_crushing,0.00834387
material_family_powder,0.007947513
mgo,0.007503593
material_family_cdw,0.0065186867
mineralogy_other,0.0053760842
activation_method_thermal,0.0050424337
activation_method_chemical,0.004972112
activation_method_nan,0.0044801948
activation_method_mechanical,0.0042079734
amorphous_pct,0.0028592888
processing_method_other,0.0016848001
activation_method_carbonation,0.0
activation_method_none,0.0
processing_method_milling,0.0
processing_method_thermal,0.0
processing_method_nan,0.0
mineralogy_quartz,0.0
material_family_nan,0.0
