paper_id,Paper Title,Mix ID,Replacement Level,Activation Method,Key Processing Parameters,Reported Strength
0,Mechanical behaviour of concrete made with fine recycled concrete aggregates,RC,0% FRA replacement (Fine Natural Aggregate control),,"Standard laboratory mixing (10 min in Stage 1, 20 min in Stage 2/3)","Compressive Strength (28d): 59.4 MPa (Stage 1) / 59.3 MPa (Stage 2/3)
Compressive Strength Evolution (Graph-Derived): ~47.0 MPa (7d) / ~59.3 MPa (28d) / ~60.0 MPa (56d)
Split Tensile Strength (31d): 3.85 MPa
Modulus of Elasticity (31d): 35.5 GPa"
0,Mechanical behaviour of concrete made with fine recycled concrete aggregates,C10R,10% FRA replacement,,"Standard laboratory mixing (10 min in Stage 1, 20 min in Stage 2/3)",Compressive Strength (28d): 62.2 MPa (Stage 1) / 59.0 MPa (Stage 2/3)
0,Mechanical behaviour of concrete made with fine recycled concrete aggregates,C20R,20% FRA replacement,,"Standard laboratory mixing (10 min in Stage 1, 20 min in Stage 2/3)",Compressive Strength (28d): 58.4 MPa (Stage 1) / 57.3 MPa (Stage 2/3)
0,Mechanical behaviour of concrete made with fine recycled concrete aggregates,C30R,30% FRA replacement,,"Standard laboratory mixing (10 min in Stage 1, 20 min in Stage 2/3)","Compressive Strength (28d): 61.3 MPa (Stage 1) / 57.1 MPa (Stage 2/3)
Compressive Strength Evolution (Graph-Derived): ~46.0 MPa (7d) / ~57.1 MPa (28d) / ~61.5 MPa (56d)
Split Tensile Strength (31d): 3.65 MPa
Modulus of Elasticity (31d): 34.2 GPa"
0,Mechanical behaviour of concrete made with fine recycled concrete aggregates,C50R,50% FRA replacement,,"Standard laboratory mixing (10 min in Stage 1, 20 min in Stage 2/3)",Compressive Strength (28d): 60.8 MPa (Stage 1) / 58.8 MPa (Stage 2/3)
0,Mechanical behaviour of concrete made with fine recycled concrete aggregates,C100R,100% FRA replacement,,"Standard laboratory mixing (10 min in Stage 1, 20 min in Stage 2/3)","Compressive Strength (28d): 61.0 MPa (Stage 1) / 54.8 MPa (Stage 2/3)
Compressive Strength Evolution (Graph-Derived): ~42.0 MPa (7d) / ~54.8 MPa (28d) / ~62.0 MPa (56d)
Split Tensile Strength (31d): 2.95 MPa
Modulus of Elasticity (31d): 28.9 GPa"
1,Durability performance of concrete made with fine recycled concrete aggregates,RC,0%,,,59.3 MPa
1,Durability performance of concrete made with fine recycled concrete aggregates,GOR (C30R),30%,,"Crushed in impact crusher, screened to ≤1.19 mm",57.3 MPa
1,Durability performance of concrete made with fine recycled concrete aggregates,C100R,100%,,"Crushed in impact crusher, screened to ≤1.19 mm",54.8 MPa
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Control (0% Fines),"50% Slag, 0% Fines",,Baseline mix,100% baseline strength reference
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type A (5.0%),"50% Slag, 5.0% RCF",,Dried at 40°C,"3-day: +19%, 28-day: +1%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type B (7.5%),"50% Slag, 7.5% RCF",,Dried at 40°C,"3-day: +19%, 28-day: +11%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type C (2.5%),"50% Slag, 2.5% RCF",,Dried at 40°C,"3-day: +8%, 28-day: +6%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type D (2.5%),"50% Slag, 2.5% RCF",,Dried at 40°C,"3-day: +10%, 28-day: +3%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type E (2.5%),"50% Slag, 2.5% RCF",,Dried at 40°C,"3-day: +6%, 28-day: +8%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type F (2.5%),"50% Slag, 2.5% RCF",,Dried at 40°C,"3-day: +8%, 28-day: 0%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type G (7.5%),"50% Slag, 7.5% RCF",,"Wet slurry, ~15% solids","3-day: +11%, 28-day: -2%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type H (5.0%),"50% Slag, 5.0% RCF",,Dried at 40°C,"3-day: +8%, 28-day: -2%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Control (0% Fines),"37.5% Slag, 0% Fines",,Baseline mix,100% baseline strength reference
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type A (5.0%),"37.5% Slag, 5.0% RCF",,Dried at 40°C,"3-day: +5%, 28-day: +9%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type B (7.5%),"37.5% Slag, 7.5% RCF",,Dried at 40°C,"3-day: +2%, 28-day: +4%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type C (2.5%),"37.5% Slag, 2.5% RCF",,Dried at 40°C,"3-day: +12%, 28-day: -6%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type D (2.5%),"37.5% Slag, 2.5% RCF",,Dried at 40°C,"3-day: +4%, 28-day: +6%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type E (5.0%),"37.5% Slag, 5.0% RCF",,Dried at 40°C,"3-day: +24%, 28-day: +28%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type F (2.5%),"37.5% Slag, 2.5% RCF",,Dried at 40°C,"3-day: +19%, 28-day: +21%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type H (5.0%),"37.5% Slag, 5.0% RCF",,Dried at 40°C,"3-day: +14%, 28-day: +21%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Control (0% Fines),"25% Slag, 0% Fines",,Baseline mix,100% baseline strength reference
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type A (5.0%),"25% Slag, 5.0% RCF",,Dried at 40°C,"3-day: 0%, 28-day: +4%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type B (2.5%),"25% Slag, 2.5% RCF",,Dried at 40°C,"3-day: +18%, 28-day: +16%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type C (1.3%),"25% Slag, 1.3% RCF",,Dried at 40°C,"3-day: +57%, 28-day: +18%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type D (5.0%),"25% Slag, 5.0% RCF",,Dried at 40°C,"3-day: +12%, 28-day: +21%"
