paper_id,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct
0,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
1,,,,,,,,,,,,,,,,,,13.1,,1234.0,0.44,,,,,,,crushing,,fines,,
2,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
3,58.55,11.82,10.35,4.64,1.52,0.44,,,,,,67.25,,67.25,,,1500.0,,2.3625,,0.55,,,,,0.0,,combined,portlandite,powder,15.0,
4,33.43,32.17,18.7,16.72,,,,,,,,,,52.5,,,,,,,0.5,1337.5,1.0,,,,thermal,,,powder,,
5,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
6,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
7,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,
8,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,mechanical,milling,,powder,25.0,
9,,3.5,,,,,,,9.666666666666666,,,,,,,,,,,,0.55,617.5,8.0,,,,thermal,combined,calcite,other,,6.0
10,43.0,15.5,11.5,5.0,2.0,,,,,,,9.06,,6.536666666666666,639.6,,,,,,0.45,,,,,2.0,,combined,,powder,22.5,
11,,,,,,,,,31.25,,,250.0,2000.0,,,,,,2.66,,0.5,500.0,43.333333333333336,15.0,,2.0,multiple,combined,mixed,other,25.0,0.0
12,69.75,9.62,6.92,2.6,0.51,0.53,0.67,2.42,6.94,,1.06,5.94,29.39,10.77,,,,,2.62,,0.5,,,,,2.0,,crushing,,cdw,5.0,5.0
13,,,,,,,,,,,,,,,,,,6.24,2.61,,0.18,,,,,,,crushing,,fines,,
14,46.9,19.3,11.7,5.62,2.17,1.49,0.84,2.3,5.9,,,14.5,,,817.0,,,,2.6,,0.5,,,,,2.0,chemical,combined,,powder,,0.0
15,46.1,40.0,,,,,,,,,,,,,,,,,,2540.0,0.595,,,,,,,combined,,other,,
16,46.1,40.0,3.8,1.5,0.5,0.4,0.3,1.2,6.2,,,,,,,,,,2.54,,0.595,,,2.0,60.0,,,combined,,other,10.0,
17,,16.04,,,,,,,,,,,,85.0,,,,,,755.3333333333334,0.6288888888888889,650.0,5.0,,,,thermal,combined,other,other,35.0,20.0
18,51.8,22.8,13.6,5.6,1.4,0.8,,2.6,,,1.8,22.4,158.9,22.4,,3550.0,,,,,,,,,,0.0,multiple,other,,powder,,
19,20.4375,12.2875,5.925,7.987500000000001,2.6875,1.75,2.1375,1.8375000000000001,5.075,,,,,24.18625,,,2500.0,,2.77,2341.4285714285716,0.515,,,,,0.0,,other,,other,25.0,0.0
20,,,,,,,,,,,,38.82,,,710.0,,,,,,0.4,,,,,1.0,carbonation,milling,calcite,paste,,
21,20.5,56.75,8.42,3.99,3.84,3.49,0.49,1.08,1.04,,,,330.2325,15.42,,,,,,,0.5,540.0,3.0,,,,thermal,combined,,powder,30.0,0.0
22,50.0,25.0,8.5,5.5,,,,,,,,29.55529411764706,,9.06,527.22,,,,,,0.43625,675.0,45.0,56.333333333333336,,2.0,multiple,combined,other,powder,30.0,
23,36.1,22.5,18.4,3.1500000000000004,1.75,1.35,,,13.8,,7.343500000000001,72.165,444.8,,1750.0,,,,,,0.35,,,120.0,,1.0,mechanical,combined,mixed,aac,,30.0
24,27.8,29.1,6.7,2.73,4.49,1.11,0.56,1.09,,,,,,,467.0,,,,,856.0,0.475,,,,,,,combined,,powder,9.0,0.0
25,21.3,64.1,5.63,3.22,1.15,3.54,,0.56,,,,16.6,65.2,,,,,,,,,,,,,,carbonation,combined,,paste,,
26,50.93,18.18,13.55,6.37,2.73,0.92,,3.5,11.32,,,,,,,2687.5,637.75,,,,0.5,,,,,0.0,,milling,,powder,,0.0
27,65.26,4.48,11.05,3.18,1.34,,0.22,1.87,7.21,,,,,61.7744,,,,,,,0.3,,,30.0,,2.0,none,milling,,powder,,0.0
28,56.0,15.442857142857145,8.379999999999999,2.4333333333333336,,0.624,1.32,,13.75,,,,,,6400.0,,,,,,0.52,,,,,0.0,multiple,combined,mixed,fines,,
29,,,,,,,,,11.9,,3.5,19.0,65.0,22.0,,,230.0,,,,,,,,,,,crushing,,powder,10.0,
30,,,,,,,,,13.683333333333335,,,25.0,,,,,,,,,0.5,900.0,2.0,,,,thermal,crushing,,powder,,
31,,,,,,,,,,,,,,,150.0,,,,,,,,,,,1.0,carbonation,combined,mixed,paste,,40.0
32,27.8,29.1,6.7,2.73,4.49,1.11,,,,,,,,42.6,467.0,,,,,856.0,0.45,,,30.0,,2.0,mechanical,combined,mixed,powder,15.0,
33,58.79,3.28,18.37,6.07,,,,,10.9,55.1,,,,,,,,,,,,,,,,1.0,,other,,fines,,
34,,,,,,,,,,,,20.051499999999997,,,,,,,2.7239999999999998,,,,,,,1.0,,combined,,paste,,
35,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,combined,,powder,20.0,
36,60.3,17.4,10.4,3.0,3.4,0.7,2.1,,,,,22.7,,22.7,,,,,,,0.5,,,60.0,,1.0,mechanical,combined,mixed,powder,10.0,
37,46.835,22.25,12.66,5.654999999999999,1.665,0.29000000000000004,,2.14,,,,17.854999999999997,,27.939999999999998,,,440.5,,2.59,,,,,20.0,,1.0,mechanical,combined,,powder,15.0,0.0
38,34.82,24.48,8.52,6.99,3.19,0.21,1.66,0.81,17.89,,,,,,,,,,2.61,,0.6,,,,,,,combined,,powder,57.5,
39,33.4,44.9,8.4,1.0,5.4,,,1.7,,,,5.0,,,,,,,,,0.5,,,,,1.0,chemical,crushing,,fines,12.5,0.0
