paper_id,Paper Title,Authors,Journal Name,Publication Year,DOI (Digital Object Identifier),Material Type::Extracted Value,Material Type::Unit,Source Material::Extracted Value,Source Material::Unit,RCF/RCP Processing Method::Extracted Value,RCF/RCP Processing Method::Unit,RCF/RCP Processing Parameters::Extracted Value,RCF/RCP Processing Parameters::Unit,Activation Method::Extracted Value,Activation Method::Unit,Activation Parameters::Extracted Value,Activation Parameters::Unit,Carbonation Conditions::Extracted Value,Carbonation Conditions::Unit,Thermal Treatment Temperature::Extracted Value,Thermal Treatment Temperature::Unit,Thermal Treatment Duration::Extracted Value,Thermal Treatment Duration::Unit,Mechanical Activation Method::Extracted Value,Mechanical Activation Method::Unit,Grinding Duration::Extracted Value,Grinding Duration::Unit,Grinding Speed::Extracted Value,Grinding Speed::Unit,Other Activation Conditions::Extracted Value,Other Activation Conditions::Unit,Water-to-Binder Ratio (w/b)::Extracted Value,Water-to-Binder Ratio (w/b)::Unit,Particle Size Distribution::Extracted Value,Particle Size Distribution::Unit,d10::Extracted Value,d10::Unit,d50::Extracted Value,d50::Unit,d90::Extracted Value,d90::Unit,Mean Particle Size::Extracted Value,Mean Particle Size::Unit,Specific Surface Area::Extracted Value,Specific Surface Area::Unit,BET Surface Area::Extracted Value,BET Surface Area::Unit,Blaine Fineness::Extracted Value,Blaine Fineness::Unit,Water Absorption Capacity::Extracted Value,Water Absorption Capacity::Unit,Specific Gravity::Extracted Value,Specific Gravity::Unit,Bulk Density::Extracted Value,Bulk Density::Unit,SiO2::Extracted Value,SiO2::Unit,CaO::Extracted Value,CaO::Unit,Al2O3::Extracted Value,Al2O3::Unit,Fe2O3::Extracted Value,Fe2O3::Unit,MgO::Extracted Value,MgO::Unit,SO3::Extracted Value,SO3::Unit,Na2O::Extracted Value,Na2O::Unit,K2O::Extracted Value,K2O::Unit,Loss on Ignition (LOI)::Extracted Value,Loss on Ignition (LOI)::Unit,Other Reported Oxides::Extracted Value,Other Reported Oxides::Unit,XRD Phases::Extracted Value,XRD Phases::Unit,Mineral Composition::Extracted Value,Mineral Composition::Unit,Amorphous Content::Extracted Value,Amorphous Content::Unit,Pozzolanic Reactivity::Extracted Value,Pozzolanic Reactivity::Unit,Pozzolanic Activity Index::Extracted Value,Pozzolanic Activity Index::Unit,Strength Activity Index::Extracted Value,Strength Activity Index::Unit,Heat Release Data::Extracted Value,Heat Release Data::Unit,Other Reactivity Indicators::Extracted Value,Other Reactivity Indicators::Unit,Cement Replacement Level(s)::Extracted Value,Cement Replacement Level(s)::Unit,Optimum Replacement Level of Cement with RCF/RCP::Extracted Value,Optimum Replacement Level of Cement with RCF/RCP::Unit,Compressive Strength::Extracted Value,Compressive Strength::Unit,Relative Compressive Strength (% of control if reported)::Extracted Value,Relative Compressive Strength (% of control if reported)::Unit,7-Day Heat Release::Extracted Value,7-Day Heat Release::Unit,Relative Heat Release (% of control if reported)::Extracted Value,Relative Heat Release (% of control if reported)::Unit,Initial Setting Time::Extracted Value,Initial Setting Time::Unit,Final Setting Time::Extracted Value,Final Setting Time::Unit,Flexural Strength::Extracted Value,Flexural Strength::Unit,Relative Flexural Strength (% of control if reported)::Extracted Value,Relative Flexural Strength (% of control if reported)::Unit,Shrinkage::Extracted Value,Shrinkage::Unit,Relative Shrinkage (% of control if reported)::Extracted Value,Relative Shrinkage (% of control if reported)::Unit
0,Mechanical behaviour of concrete made with fine recycled concrete aggregates,"L. Evangelista, J. de Brito",Cement & Concrete Composites,2007,10.1016/j.cemconcomp.2006.12.004,Fine recycled concrete aggregates (FRA),,Laboratory grade original concrete (OC),,Jaw crushing and mechanical sieving,,Crushed on the 35th day; maximum nominal size 38.1 mm; fractions between 0.074 mm and 1.19 mm isolated,mm / days,,,,,,,,,,,,,,,,,,,,,Fractions between 0.074 mm and 1.19 mm (adjusted to match FNA grading curve),mm,,,,,,,,,,,,,,,13.1,%,Dry specific density: 1913; Surface dry specific density: 2165,kg/m³,1234,kg/m³,,,,,,,,,,,,,,,,,,,,,,,Contains high levels of cement (both hydrated and non-hydrated) estimated up to 25% of its weight,%,,,,,,,,,,,"Non-hydrated cement mixed with FRA continues to hydrate over time, increasing compressive strength past 28 days",,,,,,,,,,,,,,,,,,,,,,,,,
1,Durability performance of concrete made with fine recycled concrete aggregates,"L. Evangelista, J. de Brito",Cement & Concrete Composites,2010,10.1016/j.cemconcomp.2009.09.005,Fine recycled concrete aggregates (FRA),,Original concrete (OC) produced in the laboratory,,Crushing and screening (sieving),,Crushed after 35 days; fraction size up to 1.19 mm; sieved to reproduce the grading curve of natural aggregates,,,,,,,,,,,,,,,,,,,,"RC: 0.41
C30R: 0.45
C100R: 0.48
Alternative effective values:
RC (W/C)ef: 0.41
C30R (W/C)ef: 0.44
C100R (W/C)ef: 0.45",,Fractions up to 1.19 mm (Fineness modulus: 2.38),mm,,,,,,,,,,,,,,,13.1,%,"Dry specific density: 1913
Surface dry specific density: 2165",kg/m³,Dry bulk density: 1234,kg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Cement content kept constant; fine aggregates replaced instead),%,,,"RC: 59.3
GOR (C30R): 57.3
C100R: 54.8",MPa,,,,,,,,,,,,,,,,,,
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,"Elyse M. Hanson, Nicholas J. Connolly and Donald J. Janssen",,2010,,Recycled Concrete Fines (RCF),,Concrete Plant washout fines and Diamond Grinding projects,,Thermal Drying (except Type G),,40,°C,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.32 to 6.1 (Conductivity)
1.33316 to 1.33597 (Index of Refraction)
9.3 to 12.8 (pH)","mS
NULL
NULL","Slag: 25, 37.5, 50
RCF: 0, 2.5, 5.0, 7.5 (and 1.25/1.3 for Type C)",%,"50% Slag mixtures:
Type A: 5.0%
Type B: 7.5%
Type C: 2.5%
Type D: 2.5%
Type E: 2.5%
Type F: 2.5%
Type G: 7.5%
Type H: 5.0%

37.5% Slag mixtures:
Type A: 5.0%
Type B: 7.5%
Type C: 2.5%
Type D: 2.5%
Type E: 5.0%
Type F: 2.5%
Type H: 5.0%

25% Slag mixtures:
Type A: 5.0%
Type B: 2.5%
Type C: 1.3%
Type D: 5.0%
Type E: 5.0%
Type F: 5.0%
Type H: 7.5%",%,"3-Day optimal strengths (37.5% Slag):
Baseline: ~4180
Type A: ~4400
Type B: ~4260
Type C: ~4680
Type D: ~4350
Type E: ~5180
Type F: ~4980
Type H: ~4760",psi,"50% Slag (3-d / 28-d % change):
A: +19% / +1%
B: +19% / +11%
C: +8% / +6%
D: +10% / +3%
E: +6% / +8%
F: +8% / 0%
G: +11% / -2%
H: +8% / -2%

37.5% Slag (3-d / 28-d % change):
A: +5% / +9%
B: +2% / +4%
C: +12% / -6%
D: +4% / +6%
E: +24% / +28%
F: +19% / +21%
H: +14% / +21%

25% Slag (3-d / 28-d % change):
A: 0% / +4%
B: +18% / +16%
C: +57% / +18%
D: +12% / +21%
E: +6% / -8%
F: +8% / +9%
H: +4% / +16%",%,,,,,,,,,,,,,,,,
3,Utilization of waste concrete powder as a substitution material for cement,"Yong Jic Kim, Yun Wang Choi",Construction and Building Materials,2012,10.1016/j.conbuildmat.2011.11.042,"Waste concrete powder (WCP), WCP1, WCP2",,Recycled aggregate manufacturing process / concrete wastes,,Crushing process using a ball mill,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,"176 (WCP1), 90 (WCP2)",µm,,,"176 (WCP1), 90 (WCP2)",µm,,,,,"928 (WCP1), 1360 (WCP2)",cm²/g,,,"2.48 (WCP1), 2.48 / 2.49 (WCP2)",g/cm³,,,58.55,%,11.82,%,10.35,%,4.64,%,1.52,%,0.44,%,,,,,,,,,,,Ca(OH)2 hydrates,,,,Nonreactive,,,,,,,,,,"0, 15, 30, 45",%,Below 15,%,,,"• 15% replacement (28-day): decreased by 28% (WCP1) / decreased by 25% (WCP2)
• 45% replacement (28-day): decreased by 73% (WCP1) / decreased by 64% (WCP2)",%,,,,,Approximate values graphically displayed in Fig. 7 (~200 to 220 min for all mixes),min,"Delayed longer than 2 hours compared to control (Approximate values from Fig. 7: ~380 min for control, up to ~550 min for mixed pastes)",min / hours,,,,,,,,
4,A study on development of recycled cement made from waste cementitious powder,"Eunhee Kwon, Jaecheol Ahn, Bongsuk Cho, Dongcheon Park",Construction and Building Materials,2015,http://dx.doi.org/10.1016/j.conbuildmat.2015.02.086,Waste cementitious powder / cementitious powder,,Waste concrete,,,,,,Thermal treatment (Sintering/Calcination),,,,,,"1200, 1300, 1400, 1450",°C,90 or 1,min or h,,,,,,,,,0.5,,,,,,,,,,< 75 (General) or ≤ 30 (for XRD/TG),µm,,,,,,,,,,,,,"18.2 (S0), 23.9 (S10), 35.3 (S30), 46.7 (S50), 55.2 (S65)",%,"47.7 (S0), 43.1 (S10), 33.8 (S30), 24.5 (S50), 17.6 (S65)",%,"3.9 (S0), 4.7 (S10), 6.3 (S30), 7.9 (S50), 9.2 (S65)",%,"2.6 (S0), 2.6 (S10), 2.5 (S30), 2.3 (S50), 2.2 (S65)",%,,,,,,,,,,,,,Portlandite (Ca(OH)2),,,,,,,,,,,,,,,,,,,,"S0: 32.87
S10: 26.79
S30: 24.75",MPa,"S0: 76.51%
S10: 62.36%
S30: 57.61%
S50: 44.32%
S65: 46.51%",%,,,,,,,,,,,,,,,,
5,Reuse of recycled crushed concrete fines as mineral addition in cementitious materials,"L. Oksri-Nelfia, P-Y. Mahieux, O. Amiri, Ph. Turcry, J. Lux",Materials and Structures,2016,10.1617/s11527-015-0716-1,Recycled Crushed Concrete Fines (RCCF),,5 years old concrete (APPLET concrete mixture),,"Compression breaking, jaw crushing, and sieving",,"Sieved at 80 μm, maximum diameter lower than 300 μm before sieving",μm,,,,,,,,,,,,,,,,,,,"0.63, 0.67, 0.71 (reported as W/(A+C) for RCCF mixes)",Ratio,"Multimodal with four distinct peaks at 0.2, 2.8, 13, and 40 μm",μm,,,8.8,μm,,,,,6200,cm²/g,,,6200 (assessed by the Blaine test),cm²/g,Low (not quantitatively specified except as water demand of 22%),%,,,,,,,,,,,,,,,,,,,,,,,,,,,"CaCO₃: 73%, Portlandite (Ca(OH)₂): 2.4 ± 0.1%, traces of C-S-H and ettringite",%,,,Very low/unlikely,,,,,,Lower than 15,J per g of RCCF,Anhydrous cement content (α_AC): 1.6% (SEM) to 2.3% (theoretical calculation),%,"25, 50, 75",% (by volume),Up to 25,%,"Ref (0%):
2 days: 26.6 ± 0.89
7 days: 36.8 ± 0.26
28 days: 45.8 ± 1.45
90 days: 52.0 ± 2.15

RCCF 25:
2 days: 24.8 ± 1.32
7 days: 32.7 ± 0.27
28 days: 38.4 ± 0.46
90 days: 38.7 ± 2.24

RCCF 50:
2 days: 10.7 ± 0.14
7 days: 14.0 ± 0.06
28 days: 16.4 ± 0.19
90 days: 17.3 ± 0.91

RCCF 75:
2 days: 2.5 ± 0.05
7 days: 5.7 ± 0.23
28 days: 4.2 ± 0.19
90 days: 4.6 ± 0.91",MPa,"RCCF 25:
2 days: ~93%
7 days: ~89%
28 days: ~84%
90 days: ~74%

RCCF 50:
2 days: ~40%
7 days: ~38%
28 days: ~36%
90 days: ~33%

RCCF 75:
2 days: ~9%
7 days: ~15%
28 days: ~9%
90 days: ~9%",%,"Ref: 125,005
RCCF 25: 108,283
RCCF 50: 77,132
RCCF 75: 42,522",J,,,,,,,,,,,,,,
6,Influence of fine recycled concrete aggregates on the properties of mortars,"Zengfeng Zhao, Sébastien Remond, Denis Damidot, Weiya Xu",Construction and Building Materials,2015,http://dx.doi.org/10.1016/j.conbuildmat.2015.02.037,FRCA / recycled sand,,Old concrete / cement paste,,Crushing and Screening,,,,,,,,,,,,,,,,,,,,,,,,"0/0.63, 0.63/1.25, 1.25/2.5, 2.5/5",mm,,,,,,,,,,,,,,,7.54,%,,,2.54,g/cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soluble fraction in salicylic acid (SFSA): 13.46 (0/0.63 mm), 12.45 (0.63/1.25 mm), 10.22 (1.25/2.5 mm), 9 (2.5/5 mm)",%,,,,,"45.22, 49.84, 43.01, 45.34, 41.96, 43.76, 66.63, 64.58, 57.23, 53.84, 42.09, 51.17, 49.32, 47.37, 46.92, 39.14, 45.55, 52.54, 52.22, 58.32, 44.29, 50.06, 50.85, 52.08",MPa,"0.72, 0.82, 0.82, 0.91, 0.82, 0.93, 0.95, 0.97",Fraction,,,,,,,,,"8.76, 8.78, 8.10, 8.15, 7.72, 7.80, 13.06, 12.05, 10.86, 10.53, 8.54, 10.55, 10.21, 10.00, 9.16, 8.00, 10.19, 9.66, 9.83, 11.22, 9.24, 9.67, 9.77, 10.38",MPa,,,,,,
7,PROPERTIES AND MICROSTRUCTURE OF CEMENT PASTE INCLUDING RECYCLED CONCRETE POWDER,"JAROSLAV TOPIČ, ZDENĚK PROŠEK",Acta Polytechnica,2017,10.14311/AP.2017.57.0049,Recycled Concrete Powder (RCP),,PB2 and SB8 railway sleepers,,High-speed milling,,High speed,,Mechanical activation,,High-speed mill,,,,,,,,High-speed milling,,,,High speed,,,,"0.350, 0.354, 0.358, 0.361, 0.365",,Grain size < 0.25 mm,mm,,,12,µm,,,12,µm,412,m²/kg,,,412,m²/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.105,J/g,"Increased heat flow after 8h, 19–26h, and 48h",W/g of cement,"5%, 10%, 15%, 20%, 25%",wt%,5% (compressive strength) / 15% (flexural strength),wt%,"57.3 (at 5% RCP), 50.2 (at 10% RCP), 51.8 (at 15% RCP), 56.9 (at 20% RCP), 50.1 (at 25% RCP)",MPa,"~110% (at 5% RCP), 96% (at 25% RCP)",%,440.105,J/g of cement,125.02,%,,,,,"4.3 (at 5% RCP), 4.2 (at 10% RCP), 5.0 (at 15% RCP), 3.8 (at 20% RCP), 3.3 (at 25% RCP)",MPa,"~107% (at 5% RCP), ~125% (at 15% RCP)",%,"0.8 (at 5% RCP), 1.0 (at 10% RCP), 1.2 (at 15% RCP), 1.3 (at 20% RCP), 1.6 (at 25% RCP)",mm/m,200% (at 25% RCP),%
8,Influence of increasing amount of recycled concrete powder on mechanical properties of cement paste,"Jaroslav Topič, Zdeněk Prošek, Tomáš Plachý",IOP Conference Series: Materials Science and Engineering,2017,10.1088/1757-899X/236/1/012094,Recycled concrete powder (RCP),,Old railway sleepers of type PB2 and SB8,,High speed milling,,,,Mechanical activation (milling),,,,,,,,,,High speed mill,,,,,,,,"0.35, 0.36, 0.37, 0.38, 0.39, 0.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-hydrated cement core core re-hydration capacity,,"0, 10, 20, 30, 40, 50",wt.%,20 to 30,wt.%,"76.6 (at 0%), 50.2 (at 10%), 56.9 (at 20%), 45.7 (at 30%), 38.8 (at 40%), 25.4 (at 50%)",MPa,"~65% (at 10%), ~75% (at 20%)",%,,,,,,,,,"3.0 (at 0%), 4.2 (at 10%), 3.8 (at 20%), 2.8 (at 30%), 2.9 (at 40%), 3.5 (at 50%)",MPa,125% to 140% (at 10 to 20% replacement),%,,,,
9,Recycled cement,"Junjie Wang, Mulan Mu, Yongliang Liu",Construction and Building Materials,2018,https://doi.org/10.1016/j.conbuildmat.2018.09.181,Recycled cement,,2-year-old waste cement paste,,Burning and grinding,,Heating rate: 7 °C/min; Retention time: 8 hours; Cooling: natural cooling to room temperature; Grinding: ball mill until passing 150 mm or 300 mm sieve,,Thermal treatment (Burning),,"Target temperatures: 120 °C, 450 °C, 750 °C, 1150 °C; Duration: 8 hours",,,,"120, 450, 750, 1150",°C,8,hours,,,,,,,,,0.55,,"Lower slope of accumulative curves for #2 and #5 compared to OPC, indicating more evenly distributed sizes",,,,,,,,,,,,,,,,,,,,,,,,Trace amount (in #3 and #4 powders),,,,,,,,,,,,,,Over 20% (for the old source paste); ~7% weight loss between 600 °C–700 °C for #2 powder,,,,"#1: Tobermorite (1.2 nm), Jennite, Portlandite, Calcite;
#2: Tobermorite (0.96 nm), Disordered Jennite, Calcite;
#3 & #4: Wollastonite, Larnite (C2S), CaO",,Calcite (CaCO3): 16% by weight in #2,,"Disordered phase of jennite (in #2, #5, #6)",,,,,,,,72h total heat order: OPC > #2 > #3 > #4 ≈ #1,,#2 had the highest overall hydration heat rate and total hydration heat among all recycled cements,,100% (for mixes #1-#5); 70% (for mix #6 mixed with 30% GGBS),%,,,"1 Day:
OPC: ~8 MPa
#1: ~1 MPa
#2: ~4 MPa
#3: ~1 MPa
#4: ~1 MPa
#5: ~10 MPa
#6: ~7 MPa

7 Days:
OPC: ~28 MPa
#1: ~4 MPa
#2: ~27 MPa
#3: ~14 MPa
#4: ~1.5 MPa
#5: ~23 MPa
#6: ~28 MPa

28 Days:
OPC: ~35.5 MPa
#1: ~5 MPa
#2: ~35 MPa
#3: ~21.5 MPa
#4: ~4.5 MPa
#5: ~32.5 MPa
#6: ~38 MPa",MPa,,,,,,,,,,,,,,,,,,
