paper_id,source,segment
4,sheet1,S10: 26.79
4,sheet1,S30: 24.75
6,sheet1,"45.22, 49.84, 43.01, 45.34, 41.96, 43.76, 66.63, 64.58, 57.23, 53.84, 42.09, 51.17, 49.32, 47.37, 46.92, 39.14, 45.55, 52.54, 52.22, 58.32, 44.29, 50.06, 50.85, 52.08"
11,sheet1,Series 1: ~30.0 (Graph-derived)
11,sheet1,Series 2: ~32.0 (Graph-derived)
11,sheet1,Series 3: ~43.0 (Graph-derived)
11,sheet1,Series 4: ~44.0 (Graph-derived)
11,sheet1,Series 5: ~29.5 (Graph-derived)
11,sheet1,Series 6: ~41.5 (Graph-derived)
11,sheet1,Series 7: ~34.0 (Graph-derived)
11,sheet1,Series 8: ~38.0 (Graph-derived)
11,sheet1,Series 9 & 10 (Center): ~36.2 (Graph-derived)
13,sheet1,N80R20: 179.78
13,sheet1,N60R40: 184.26
13,sheet1,N40R60: 180.32
13,sheet1,N20R80: 177.30
14,sheet1,45.4 (at 28 d for RP mix without activators)
21,sheet1,200 °C: 14.34
21,sheet1,400 °C: 14.97
21,sheet1,600 °C: 16.68
21,sheet1,700 °C: 23.71
21,sheet1,800 °C: 17.53
21,sheet1,200 °C: 26.20
21,sheet1,400 °C: 29.92
21,sheet1,600 °C: 23.16
21,sheet1,700 °C: 33.43
21,sheet1,800 °C: 28.44
21,sheet1,200 °C: 38.98
21,sheet1,400 °C: 42.64
21,sheet1,600 °C: 39.82
21,sheet1,700 °C: 47.71
21,sheet1,800 °C: 36.98
22,sheet1,"65.96, 60.69, 59.19, 56.18, 45.64, 61.68, 58.32, 49.44, 38.88, 38.40, 38.1, 43.2, 32.6, 31.3, 33.5, 33.7, 27.1, 22, 48.2, 47.1, 44.4, 38.1, 34.8, 36.9, 34.0, 26.1, 65.8"
23,sheet1,"WA30: 1d (~31), 3d (~50.5), 7d (~54.5), 28d (~64.5)"
23,sheet1,"RA30: 1d (~15), 3d (~38.5), 7d (~46), 28d (~52)"
24,sheet1,S1: ~26.5 MPa
24,sheet1,S2: ~23.5 MPa
24,sheet1,S4: ~18 MPa
24,sheet1,FS11: ~18.5 MPa
24,sheet1,FS12: ~18.2 MPa
24,sheet1,FS21: ~18 MPa
24,sheet1,FS22: ~20.2 MPa
24,sheet1,S1: ~42.3 MPa
24,sheet1,S2: ~36.5 MPa
24,sheet1,S3: ~32.5 MPa
24,sheet1,S4: ~26.8 MPa
24,sheet1,FS11: ~24.2 MPa
24,sheet1,FS12: ~25.5 MPa
24,sheet1,FS21: ~25 MPa
24,sheet1,FS22: ~24.8 MPa
24,sheet1,S1: 43.6 MPa
24,sheet1,S2: 42.6 MPa
24,sheet1,S3: 33.7 MPa
24,sheet1,S4: 27.8 MPa
24,sheet1,FS11: 36.2 MPa
24,sheet1,FS12: 50.6 MPa
24,sheet1,FS21: 33.8 MPa
24,sheet1,FS22: 40.2 MPa
26,sheet1,RCP-III: ~28.5
26,sheet1,RCP-I: ~31.0
26,sheet1,RCP-S: ~32.0
26,sheet1,RCP-III: ~36.5
26,sheet1,RCP-II: ~37.0
26,sheet1,RCP-I: ~38.0
26,sheet1,RCP-S: ~39.0
28,sheet1,Ranges from 17.8 to 122.0 across reported matrix configurations
31,sheet1,1d: ~10 MPa
31,sheet1,2d: ~19 MPa
31,sheet1,28d: ~48 MPa
31,sheet1,90d: ~50 MPa
31,sheet1,1d: ~10.5 MPa
31,sheet1,7d: ~42 MPa
31,sheet1,28d: ~51 MPa
31,sheet1,90d: ~55 MPa
32,sheet1,(J1): ~29.58
32,sheet1,(J2): ~24.0
