paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct
0,RC,0.0,7.0,47.0,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,RC,0.0,28.0,59.3,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,RC,0.0,28.0,59.4,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,RC,0.0,56.0,60.0,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,RC,0.0,,59.3,,True,False,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C10R,10.0,28.0,62.2,,False,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C10R,10.0,,59.0,,False,False,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C20R,20.0,28.0,58.4,,False,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C20R,20.0,,57.3,,False,False,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C30R,30.0,7.0,46.0,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C30R,30.0,28.0,57.1,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C30R,30.0,28.0,61.3,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C30R,30.0,56.0,61.5,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C30R,30.0,,57.1,,True,False,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C50R,50.0,28.0,60.8,,False,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C50R,50.0,,58.8,,False,False,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C100R,100.0,7.0,42.0,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C100R,100.0,28.0,54.8,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C100R,100.0,28.0,61.0,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C100R,100.0,56.0,62.0,,True,True,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
0,C100R,100.0,,54.8,,True,False,,matrix,,,,,,,,,,,,,,,,,,13.1,,1234.0,,,,,,,,crushing,other,fines,,10.0
2,,0.0,3.0,28.82,,True,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
2,,37.5,3.0,29.372,,True,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
2,,37.5,3.0,29.992,,True,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
2,,37.5,3.0,30.337,,True,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
2,,37.5,3.0,32.267,,True,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
2,,37.5,3.0,32.819,,True,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
2,,37.5,3.0,34.336,,True,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
2,,37.5,3.0,35.715,,True,True,,sheet1,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,thermal,,fines,5.0,
4,S0,0.0,90.0,32.87,,False,True,Sintering / Calcination,matrix,33.43,32.17,18.7,16.72,,,,,,,,,,52.5,,,,,,,0.5,1337.5,1.0,,,,thermal,,,powder,,
4,,0.0,,32.87,,False,False,,sheet1,33.43,32.17,18.7,16.72,,,,,,,,,,52.5,,,,,,,0.5,1337.5,1.0,,,,thermal,,,powder,,
4,S10,10.0,90.0,26.79,,False,True,Sintering / Calcination,matrix,33.43,32.17,18.7,16.72,,,,,,,,,,52.5,,,,,,,0.5,1337.5,1.0,,,,thermal,,,powder,,
4,S30,30.0,90.0,24.75,,False,True,Sintering / Calcination,matrix,33.43,32.17,18.7,16.72,,,,,,,,,,52.5,,,,,,,0.5,1337.5,1.0,,,,thermal,,,powder,,
5,,0.0,2.0,26.6,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,0.0,7.0,36.8,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,0.0,28.0,45.8,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,0.0,90.0,52.0,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,25.0,2.0,24.8,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,25.0,7.0,32.7,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,25.0,28.0,38.4,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,25.0,90.0,38.7,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,50.0,2.0,10.7,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,50.0,7.0,14.0,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,50.0,28.0,16.4,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,50.0,90.0,17.3,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,75.0,2.0,2.5,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,75.0,7.0,5.7,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,75.0,28.0,4.2,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
5,,75.0,90.0,4.6,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0
6,RM-0.6-10,10.0,,51.17,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-10,10.0,,66.63,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-2.5/5,17.79,,52.08,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-2.5/5,17.79,,58.32,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-20,20.0,,49.32,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-20,20.0,,64.58,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-0.63/1.25,20.5,,50.06,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-0.63/1.25,20.5,,52.54,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-0/0.63,29.31,,44.29,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-0/0.63,29.31,,45.55,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-30,30.0,,47.37,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-30,30.0,,57.23,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-1.25/2.5,32.08,,50.85,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-1.25/2.5,32.08,,52.22,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-50,50.0,,46.92,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-50,50.0,,53.84,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-100,100.0,,39.14,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-S,100.0,,41.96,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-100,100.0,,42.09,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.55-S,100.0,,43.01,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.6-D,100.0,,43.76,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-S,100.0,,45.22,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.55-D,100.0,,45.34,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
6,RM-0.5-D,100.0,,49.84,,False,False,,matrix,,,,,,,,,,,,,,,,,,7.54,,2540.0,,,,,,,,crushing,,fines,,
7,CEM (ref),0.0,,52.1,,False,False,,matrix,,,,,,,,,,,,12.0,,12.0,412.0,,412.0,,,,0.3576,,,,,,mechanical,milling,,powder,10.0,
