paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source
0,RC,0.0,7.0,47.0,,True,True,,matrix
0,RC,0.0,28.0,59.3,,True,True,,matrix
0,RC,0.0,28.0,59.4,,True,True,,matrix
0,RC,0.0,56.0,60.0,,True,True,,matrix
0,RC,0.0,,59.3,,True,False,,matrix
0,C10R,10.0,28.0,62.2,,False,True,,matrix
0,C10R,10.0,,59.0,,False,False,,matrix
0,C20R,20.0,28.0,58.4,,False,True,,matrix
0,C20R,20.0,,57.3,,False,False,,matrix
0,C30R,30.0,7.0,46.0,,True,True,,matrix
0,C30R,30.0,28.0,57.1,,True,True,,matrix
0,C30R,30.0,28.0,61.3,,True,True,,matrix
0,C30R,30.0,56.0,61.5,,True,True,,matrix
0,C30R,30.0,,57.1,,True,False,,matrix
0,C50R,50.0,28.0,60.8,,False,True,,matrix
0,C50R,50.0,,58.8,,False,False,,matrix
0,C100R,100.0,7.0,42.0,,True,True,,matrix
0,C100R,100.0,28.0,54.8,,True,True,,matrix
0,C100R,100.0,28.0,61.0,,True,True,,matrix
0,C100R,100.0,56.0,62.0,,True,True,,matrix
0,C100R,100.0,,54.8,,True,False,,matrix
2,,0.0,3.0,28.82,,True,True,,sheet1
2,,37.5,3.0,29.372,,True,True,,sheet1
2,,37.5,3.0,29.992,,True,True,,sheet1
2,,37.5,3.0,30.337,,True,True,,sheet1
2,,37.5,3.0,32.267,,True,True,,sheet1
2,,37.5,3.0,32.819,,True,True,,sheet1
2,,37.5,3.0,34.336,,True,True,,sheet1
2,,37.5,3.0,35.715,,True,True,,sheet1
4,S0,0.0,90.0,32.87,,False,True,Sintering / Calcination,matrix
4,,0.0,,32.87,,False,False,,sheet1
4,S10,10.0,90.0,26.79,,False,True,Sintering / Calcination,matrix
4,S30,30.0,90.0,24.75,,False,True,Sintering / Calcination,matrix
5,,0.0,2.0,26.6,,False,True,,sheet1
5,,0.0,7.0,36.8,,False,True,,sheet1
5,,0.0,28.0,45.8,,False,True,,sheet1
5,,0.0,90.0,52.0,,False,True,,sheet1
5,,25.0,2.0,24.8,,False,True,,sheet1
5,,25.0,7.0,32.7,,False,True,,sheet1
5,,25.0,28.0,38.4,,False,True,,sheet1
5,,25.0,90.0,38.7,,False,True,,sheet1
5,,50.0,2.0,10.7,,False,True,,sheet1
5,,50.0,7.0,14.0,,False,True,,sheet1
5,,50.0,28.0,16.4,,False,True,,sheet1
5,,50.0,90.0,17.3,,False,True,,sheet1
5,,75.0,2.0,2.5,,False,True,,sheet1
5,,75.0,7.0,5.7,,False,True,,sheet1
5,,75.0,28.0,4.2,,False,True,,sheet1
5,,75.0,90.0,4.6,,False,True,,sheet1
6,RM-0.6-10,10.0,,51.17,,False,False,,matrix
6,RM-0.5-10,10.0,,66.63,,False,False,,matrix
6,RM-0.6-2.5/5,17.79,,52.08,,False,False,,matrix
6,RM-0.5-2.5/5,17.79,,58.32,,False,False,,matrix
6,RM-0.6-20,20.0,,49.32,,False,False,,matrix
6,RM-0.5-20,20.0,,64.58,,False,False,,matrix
6,RM-0.6-0.63/1.25,20.5,,50.06,,False,False,,matrix
6,RM-0.5-0.63/1.25,20.5,,52.54,,False,False,,matrix
6,RM-0.6-0/0.63,29.31,,44.29,,False,False,,matrix
6,RM-0.5-0/0.63,29.31,,45.55,,False,False,,matrix
6,RM-0.6-30,30.0,,47.37,,False,False,,matrix
6,RM-0.5-30,30.0,,57.23,,False,False,,matrix
